Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56
23.164,-6.1119,1.7086,1,0.2263,0.027207,0.3285,0.023361,-0.06046,0.18004,0.094588,0.28144,0.26047,0.00034053,0.0047888,0.45643,1.3821,1.132,0.74949,0.032131,0.11416,-0.075758,0.049197,-0.01561,-0.14723,-0.12547,0.15465,0.2417,0.1682,0.41014,0.088667,0.27789,0.51199,0.040682,-0.15203,-0.048894,-0.23751,-0.24725,-0.094834,0.0086214,0.36442,0.024131,-0.031127,-0.087836,0.041109,-0.13442,0.059693,0.17749,0.0030889,-0.046072,0.0061768,0.10064,-0.12752,-0.15013,-0.21113,-0.1205,-0.025538,-0.031005,-0.11228,-0.017357
23.334,-6.1054,1.7092,1,0.22812,0.056693,0.31673,0.012505,-0.066369,0.15136,0.098213,0.2775,0.23739,-0.0093304,0.017961,0.5729,1.3525,1.143,0.74996,0.097757,0.1114,-0.10656,0.014238,-0.055199,-0.18019,-0.097775,0.19777,0.25862,0.1479,0.35652,0.10714,0.29872,0.48935,0.044483,-0.15759,-0.051467,-0.21119,-0.22506,-0.0934,-0.051705,0.58597,0.027587,-0.06358,-0.095801,0.032916,-0.07045,0.13785,0.28677,0.073698,0.061981,-0.036765,0.053279,-0.14505,-0.1598,-0.24881,-0.11573,-0.0097898,0.0050435,-0.11187,0.02333
23.499,-6.1166,1.7035,1,0.18633,0.08661,0.30075,0.064796,-0.07342,0.12267,0.087739,0.25049,0.23711,0.040652,0.032586,0.64886,1.317,1.0751,0.71105,0.12368,0.12098,-0.11031,-0.020922,-0.094788,-0.20837,-0.041415,0.22856,0.27553,0.15993,0.35841,0.12967,0.28303,0.45584,0.052339,-0.11175,-0.040811,-0.19825,-0.2031,-0.11074,-0.1041,0.69004,0.25152,-0.086472,-0.064559,0.067379,-0.037301,0.17127,0.40891,0.13258,0.15352,-0.019175,0.0079928,-0.16672,-0.15863,-0.26733,-0.14296,0.004524,0.054142,-0.088729,0.058891
23.664,-6.1153,1.7004,1,0.14282,0.096868,0.21976,0.069476,-0.10746,0.095577,0.086332,0.25864,0.24602,0.040191,0.010009,0.72268,1.3291,1.017,0.65332,0.15333,0.1488,-0.10392,-0.027584,-0.11561,-0.22886,0.0071421,0.25712,0.28876,0.17104,0.35651,0.14805,0.25698,0.44667,0.060194,-0.13267,-0.020759,-0.21583,-0.18493,-0.12823,-0.14012,0.71687,0.30185,-0.077928,-0.013524,0.10636,-0.0061707,0.19718,0.51691,0.18207,0.21317,-0.0015842,-0.021045,-0.18987,-0.18025,-0.27915,-0.1702,0.018838,0.058945,-0.085347,0.056177
23.831,-6.1274,1.6971,1,0.10862,0.091003,0.15116,0.057405,-0.14149,0.087832,0.0813,0.25817,0.26259,0.084542,-0.0032123,0.79651,1.3412,1.0265,0.67759,0.18298,0.18617,-0.084712,-0.053814,-0.13277,-0.23101,0.032709,0.27583,0.29613,0.20536,0.39421,0.16532,0.26563,0.45723,0.075753,-0.061331,-0.0043546,-0.23341,-0.15912,-0.147,-0.14539,0.69726,0.36831,-0.042091,0.041638,0.13873,-0.0038901,0.21405,0.61792,0.17475,0.24516,0.030477,-0.020373,-0.20922,-0.1819,-0.28564,-0.17394,0.036099,0.039636,-0.038705,0.051051
23.995,-6.1244,1.6996,1,0.096842,0.085137,0.14949,0.020152,-0.15922,0.080088,0.091959,0.30744,0.30608,0.070208,-0.0067161,0.67457,1.371,1.0328,0.63179,0.11948,0.14509,-0.085397,-0.080044,-0.14928,-0.23257,0.010725,0.28201,0.30351,0.21486,0.41212,0.15609,0.2177,0.46644,0.098229,-0.0054635,0.01205,-0.2606,-0.14914,-0.18365,-0.137,0.46818,0.35079,-0.025979,0.08855,0.16522,-0.014088,0.21366,0.6501,0.12346,0.1286,0.062537,-0.019701,-0.20565,-0.19383,-0.27057,-0.1684,0.03567,0.0087469,-0.035888,-0.013095
24.165,-6.1391,1.691,1,0.065459,0.10322,0.13482,0.0054865,-0.12063,0.11437,0.080378,0.31869,0.31192,0.075696,0.0026393,0.55264,1.3808,1.0214,0.62732,0.055289,0.074083,-0.071741,-0.094376,-0.15183,-0.21882,-0.0042877,0.24669,0.30695,0.22181,0.43045,0.16606,0.16261,0.47566,0.13906,0.10747,0.019782,-0.27457,-0.13678,-0.21509,-0.10962,0.23911,0.31053,-0.01704,0.063333,0.12576,-0.055555,0.16531,0.54642,0.047378,0.00064135,0.17717,0.046614,-0.17845,-0.19079,-0.25546,-0.16286,0.018938,-0.042236,-0.039533,-0.037614
24.33,-6.1381,1.6911,1,0.053683,0.15957,0.12437,-0.05679,-0.067368,0.13391,0.057967,0.32994,0.31328,0.027581,-0.00086448,0.46108,1.3626,1.0924,0.61768,0.028301,-0.0013874,-0.072426,-0.090685,-0.15489,-0.18664,-0.050983,0.19645,0.29674,0.20216,0.38108,0.12639,0.12633,0.47275,0.18244,0.067224,0.014284,-0.27183,-0.15285,-0.22832,-0.082238,0.11736,0.096677,-0.024037,-0.013946,0.061705,-0.070512,0.1246,0.40968,-0.02805,-0.11536,0.25211,0.11323,-0.15148,-0.19178,-0.24569,-0.13421,0.0050819,-0.096284,-0.056151,-0.067193
24.496,-6.1551,1.6813,1,0.027175,0.21593,0.12237,-0.057318,-0.0085673,0.15712,0.035557,0.28406,0.31465,0.023859,-0.0052431,0.38615,1.3443,1.1634,0.60805,0.0013129,-0.057644,-0.089616,-0.078079,-0.13976,-0.11835,-0.079055,0.13906,0.28235,0.17301,0.3355,0.13852,0.11812,0.46984,0.22582,0.04556,0.037663,-0.26267,-0.1492,-0.22549,-0.071239,0.05553,0.057405,-0.048481,-0.098796,-0.0068732,-0.085468,0.083894,0.26181,-0.0947,-0.19947,0.24358,0.17989,-0.12385,-0.1748,-0.2261,-0.10555,-0.0082726,-0.12373,-0.071918,-0.053782
24.666,-6.1471,1.6853,1,0.011612,0.23327,0.11514,-0.068073,-0.019533,0.14965,0.094866,0.28547,0.33236,-0.011068,-0.029526,0.34261,1.2551,1.1669,0.56929,0.029471,-0.1139,-0.10681,-0.05251,-0.1455,-0.10452,-0.11523,0.095036,0.2599,0.12417,0.27251,0.11668,0.048477,0.45239,0.21148,-0.016381,0.050319,-0.26012,-0.17411,-0.23154,-0.00089148,-0.023437,0.0043469,-0.14157,-0.15998,-0.08715,-0.13583,0.015518,0.10648,-0.11102,-0.26236,0.22078,0.20779,-0.11216,-0.15639,-0.20202,-0.10961,-0.016918,-0.1422,-0.11911,-0.088542
24.831,-6.1598,1.6864,1,-0.0048307,0.25062,0.11729,-0.051871,-0.05074,0.16613,0.13848,0.23715,0.33651,-0.0022483,-0.031855,0.38048,1.1869,1.1547,0.53098,0.14116,-0.034986,-0.11318,-0.017183,-0.12982,-0.1238,-0.1351,0.055016,0.23744,0.11916,0.24021,0.14002,-0.012619,0.43458,0.164,-0.10016,0.098357,-0.24809,-0.1793,-0.21604,0.058264,-0.05217,0.076466,-0.15901,-0.21778,-0.1639,-0.16085,-0.0050181,-0.070837,-0.11593,-0.26164,0.19798,0.23569,-0.088322,-0.13798,-0.15396,-0.13728,-0.015392,-0.15023,-0.13885,-0.070849
24.996,-6.1589,1.6887,1,-0.034774,0.21261,0.15316,-0.064711,-0.12721,0.18268,0.20252,0.2003,0.37314,0.010293,-0.021323,0.41835,1.0653,1.174,0.52207,0.2973,0.013923,-0.10373,0.0062449,-0.12366,-0.15468,-0.13586,0.040614,0.20955,0.13226,0.22207,0.14165,-0.013113,0.39287,0.13382,-0.11554,0.078421,-0.244,-0.18936,-0.18803,0.16894,-0.066387,0.1102,-0.19363,-0.19038,-0.19596,-0.18262,-0.020277,-0.13226,-0.096044,-0.25239,0.085091,0.23984,-0.090441,-0.12917,-0.10592,-0.17546,-0.0077363,-0.14468,-0.14626,-0.089004
25.166,-6.1818,1.6828,1,-0.050196,0.12082,0.29647,-0.076655,-0.19451,0.21397,0.19845,0.16346,0.41888,0.034015,0.00061478,0.45639,0.97855,1.1897,0.5683,0.45594,0.16214,-0.060345,0.031035,-0.10747,-0.15987,-0.10949,0.025445,0.19337,0.19508,0.27265,0.19136,0.029262,0.35331,0.113,-0.00097023,0.12679,-0.21186,-0.13957,-0.11065,0.28201,-0.11186,0.19044,-0.20851,-0.14031,-0.2117,-0.18136,-0.026072,-0.18824,-0.073413,-0.24636,-0.0034124,0.24368,-0.072022,-0.12662,-0.064857,-0.21263,0.01023,-0.15467,-0.16505,-0.071311
25.332,-6.1861,1.6843,1,-0.074872,0.027461,0.42711,-0.10274,-0.21118,0.22385,0.19437,0.15889,0.4955,0.050894,0.023273,0.44874,0.8806,1.1915,0.61452,0.55464,0.29965,0.0098682,0.022415,-0.081653,-0.15063,-0.079139,-0.0032343,0.17719,0.23141,0.33029,0.23091,0.043564,0.31376,0.10218,0.12261,0.17524,-0.17971,-0.082831,0.038463,0.39269,-0.12627,0.25675,-0.20594,-0.090249,-0.11409,-0.19842,-0.042293,-0.24423,-0.050989,-0.24032,-0.0084478,0.20989,-0.065014,-0.12963,-0.046054,-0.24979,0.0078653,-0.16772,-0.17676,-0.081925
25.497,-6.1939,1.6851,1,-0.10554,-0.009345,0.491,-0.10184,-0.14663,0.23373,0.10003,0.20069,0.52489,0.063992,-0.035748,0.40971,0.73617,1.1568,0.63696,0.59818,0.43717,0.093134,0.032999,-0.026688,-0.10529,-0.018962,-0.045274,0.15783,0.30114,0.41623,0.32677,0.11875,0.25675,0.29769,0.30012,0.26548,-0.0882,0.0076497,0.22993,0.35806,-0.12238,0.32306,-0.1544,-0.075204,-0.0083071,-0.1844,-0.058512,-0.27901,-0.047897,-0.213,0.021836,0.18255,-0.045857,-0.1449,-0.032236,-0.25241,-0.02695,-0.17494,-0.21669,-0.077172
25.663,-6.205,1.6838,1,-0.13621,-0.07745,0.42836,-0.12085,-0.061848,0.22207,0.0056967,0.24249,0.53687,0.071039,-0.10532,0.43679,0.55508,1.0627,0.70874,0.60585,0.50446,0.22818,0.033825,0.018381,-0.054516,0.048341,-0.05421,0.16456,0.3901,0.56317,0.4835,0.2837,0.27717,0.58852,0.5268,0.38688,0.049946,0.10515,0.41251,0.32096,-0.11279,0.31554,-0.12017,-0.06355,0.092309,-0.18112,-0.12257,-0.29062,-0.072805,-0.18568,0.059035,0.14198,-0.077159,-0.16217,-0.042413,-0.24068,-0.071937,-0.18867,-0.25622,-0.095295
25.834,-6.2423,1.6764,1,-0.13281,-0.12398,0.3474,-0.1129,0.022831,0.22044,-0.066636,0.2758,0.51287,0.078085,-0.1524,0.46387,0.51423,0.95463,0.89314,0.60617,0.61491,0.32752,0.053168,0.083513,-0.007617,0.11689,-0.0503,0.18871,0.48542,0.75434,0.64272,0.46999,0.24402,0.87966,0.68508,0.55708,0.18282,0.20751,0.54884,0.2703,-0.11771,0.34704,-0.084697,-0.060662,0.1932,-0.12788,-0.12365,-0.26662,-0.081683,-0.18545,0.10107,0.084231,-0.1059,-0.17252,-0.047174,-0.21845,-0.10675,-0.18295,-0.30147,0.0019143
25.998,-6.2326,1.678,1,-0.14226,-0.15543,0.17067,-0.067161,0.084806,0.2188,-0.054988,0.26038,0.50655,0.083358,-0.17176,0.48687,0.49047,0.80855,1.0669,0.6065,0.6391,0.39293,0.12427,0.14562,0.011936,0.1704,-0.07217,0.21777,0.49242,0.88842,0.79416,0.64148,0.24877,1.172,0.78244,0.65898,0.24783,0.27436,0.62695,0.31149,-0.12263,0.33201,-0.04353,-0.049454,0.28686,-0.091345,-0.12474,-0.22786,-0.089244,-0.19159,0.11871,0.030757,-0.14751,-0.1853,-0.056569,-0.20681,-0.14668,-0.16222,-0.34745,0.082154
26.163,-6.2562,1.677,1,-0.11266,-0.17938,0.0059033,-0.021422,0.096141,0.23331,-0.035331,0.23466,0.46112,0.091122,-0.08927,0.49349,0.4965,0.67648,1.1837,0.63131,0.62209,0.43788,0.22271,0.18115,0.01166,0.21038,-0.08851,0.24754,0.5259,0.88196,0.90507,0.81297,0.25353,1.4543,0.86686,0.69938,0.31284,0.24092,0.61647,0.35509,-0.13661,0.39835,0.047358,-0.035584,0.25997,-0.086053,-0.11539,-0.17766,-0.089593,-0.20322,0.1243,0.018611,-0.14298,-0.18068,-0.042311,-0.23089,-0.16679,-0.1251,-0.37109,0.18052
26.334,-6.2681,1.6768,1,-0.061789,-0.18494,-0.091908,0.024317,0.095946,0.23327,0.0054285,0.18275,0.4548,0.096827,0.092154,0.5001,0.65281,0.66474,1.2512,0.62339,0.66079,0.50968,0.27286,0.20972,0.022337,0.22995,-0.11008,0.27661,0.5329,0.86461,0.92444,0.83118,0.27056,1.4756,0.82682,0.7056,0.34833,0.21285,0.57331,0.41395,-0.13254,0.46469,0.10964,-0.011713,0.20896,-0.10567,-0.12661,-0.16585,-0.097155,-0.25281,0.12399,0.023448,-0.17362,-0.17628,-0.024886,-0.28085,-0.15578,-0.11577,-0.36652,0.20054
26.499,-6.2915,1.677,1,-0.0074449,-0.13862,-0.072564,0.060111,0.092055,0.22951,0.070357,0.13454,0.45686,0.099823,0.27358,0.45731,0.80912,0.72598,1.2141,0.59162,0.66192,0.5297,0.3216,0.2132,0.11916,0.23639,-0.16443,0.26513,0.47618,0.77502,0.82922,0.75106,0.18108,1.4015,0.71301,0.58195,0.33718,0.14219,0.54876,0.46397,-0.13241,0.53309,0.17192,0.012159,0.14244,-0.13987,-0.10016,-0.15524,-0.088412,-0.30385,0.15297,0.041528,-0.128,-0.1543,-0.0009625,-0.33081,-0.13573,-0.12229,-0.34984,0.22056
26.664,-6.2978,1.6793,1,0.036435,-0.092297,-0.049533,0.095905,0.079624,0.21366,0.1151,0.10225,0.49176,0.10282,0.34671,0.41451,0.87536,0.7719,1.0637,0.46263,0.67611,0.61729,0.33626,0.20614,0.21987,0.24293,-0.22372,0.25014,0.40925,0.61869,0.734,0.65276,0.16906,1.3043,0.54544,0.4583,0.31701,0.071536,0.55795,0.47882,-0.14098,0.57288,0.20787,0.026987,0.065267,-0.19268,-0.13053,-0.17294,-0.095699,-0.32543,0.17711,0.065183,-0.10586,-0.13238,0.014449,-0.37458,-0.11568,-0.14176,-0.31963,0.15091
26.834,-6.3119,1.6799,1,0.067523,-0.045975,-0.038177,0.093011,0.055204,0.22712,0.15949,0.11869,0.49609,0.11763,0.39211,0.38578,0.91581,0.8614,0.81735,0.33364,0.66667,0.67058,0.28979,0.19259,0.22348,0.24959,-0.24554,0.20223,0.35498,0.46065,0.61593,0.58168,0.12705,1.1206,0.37204,0.3704,0.3223,-0.011656,0.54324,0.38416,-0.14955,0.61266,0.22548,0.020397,-0.020355,-0.23814,-0.16089,-0.19541,-0.091061,-0.33287,0.15106,0.093071,-0.064428,-0.10802,0.048245,-0.36528,-0.088299,-0.11489,-0.27177,0.066458
27,-6.3361,1.6839,1,0.073841,-0.0040098,-0.035656,0.085878,0.029559,0.24349,0.18696,0.13512,0.49811,0.13346,0.35528,0.42426,0.94527,0.93732,0.70286,0.24012,0.65318,0.72387,0.24333,0.16897,0.18917,0.25497,-0.25937,0.14802,0.29022,0.40913,0.49425,0.53468,0.10966,0.92288,0.23548,0.31506,0.30994,-0.021225,0.50585,0.28951,-0.2038,0.56858,0.17356,0.0039657,-0.098789,-0.2368,-0.20451,-0.22453,-0.093428,-0.32235,0.13707,0.11727,-0.082247,-0.10176,0.069001,-0.26826,-0.060919,-0.10443,-0.24624,-0.017995
27.16,-6.353,1.6818,1,0.028945,0.022397,-0.03037,0.078745,0.0040027,0.28206,0.20187,0.15861,0.4919,0.15135,0.33141,0.47122,0.94753,0.92438,0.5691,0.28457,0.56952,0.67388,0.22595,0.12886,0.14391,0.21038,-0.25578,0.10011,0.22546,0.35761,0.4142,0.58598,0.092265,0.80013,0.13056,0.28293,0.27406,-0.046139,0.45972,0.26807,-0.2344,0.48713,0.094151,-0.015235,-0.16637,-0.22889,-0.21662,-0.24125,-0.10648,-0.31184,0.13747,0.12738,-0.040818,-0.087492,0.089758,-0.16929,-0.041559,-0.065769,-0.20015,-0.024107
27.333,-6.3648,1.6813,1,-0.019426,0.038766,-0.0071513,0.047674,-0.044992,0.31429,0.15558,0.1784,0.48136,0.16167,0.28788,0.49299,0.95935,0.86521,0.54599,0.22011,0.45295,0.60763,0.20533,0.10206,0.091888,0.16446,-0.24078,0.061058,0.17415,0.30186,0.32185,0.6249,0.10396,0.67737,0.02886,0.2804,0.20005,-0.0552,0.39496,0.25547,-0.2058,0.3364,0.014739,-0.034436,-0.18351,-0.22365,-0.26412,-0.25174,-0.12341,-0.30026,0.10166,0.13544,-0.056199,-0.088803,0.084507,-0.1094,-0.031247,-0.033982,-0.1364,-0.043389
27.5,-6.3726,1.6816,1,-0.018753,0.055136,0.051734,0.016603,-0.065213,0.34968,0.1093,0.16348,0.4395,0.172,0.27619,0.49253,0.97977,0.82184,0.52135,0.19081,0.33639,0.4937,0.19213,0.07526,0.039861,0.13033,-0.21854,0.045973,0.11446,0.23735,0.23493,0.66382,0.12051,0.56018,-0.045658,0.29372,0.089584,-0.076483,0.28208,0.17394,-0.16743,0.28357,0.04661,-0.039599,-0.18272,-0.22174,-0.26657,-0.23583,-0.14034,-0.28819,0.063827,0.14219,-0.036528,-0.08734,0.07548,-0.055709,-0.021252,0.02053,-0.086188,-0.070561
27.666,-6.3815,1.682,1,-0.013961,0.071505,0.11062,0.018293,-0.073445,0.32568,0.053256,0.14856,0.40141,0.16891,0.25041,0.49207,1.0187,0.77288,0.59276,0.13014,0.20617,0.38157,0.17933,0.033303,0.03733,0.094813,-0.16712,0.060818,0.085384,0.17455,0.17614,0.62223,0.14996,0.48873,-0.090098,0.21553,-0.011956,-0.10236,0.16879,0.10219,-0.13012,0.1684,0.087318,-0.050845,-0.16623,-0.22407,-0.26903,-0.2107,-0.13978,-0.25559,0.074967,0.14044,-0.055391,-0.10505,0.036744,-0.037669,-0.013441,0.0087101,-0.046655,-0.10179
27.831,-6.4071,1.6809,1,-0.000858,0.084871,0.16545,0.024223,-0.080453,0.29876,0.028407,0.14154,0.37386,0.15975,0.21153,0.47291,1.0863,0.73866,0.58933,0.10084,0.097934,0.22311,0.14101,-0.021151,0.016101,0.028083,-0.11505,0.087524,0.074315,0.12989,0.12608,0.58315,0.17073,0.3572,-0.16462,0.12554,-0.080809,-0.12168,0.070908,-0.004441,-0.024875,0.077212,0.10438,-0.047282,-0.13812,-0.22195,-0.24603,-0.17466,-0.13922,-0.23545,0.086107,0.15503,-0.060956,-0.10574,-0.0070944,-0.043335,-0.0025762,0.026277,-0.0087314,-0.12285
27.997,-6.4169,1.676,1,0.05129,0.092946,0.21013,0.030153,-0.078649,0.24494,0.028009,0.15172,0.34255,0.1506,0.12139,0.45729,1.1524,0.71413,0.60593,-0.0053826,0.0041716,0.12035,0.080065,-0.090409,-0.00788,-0.0002444,-0.06281,0.10863,0.078484,0.1305,0.072577,0.45151,0.19453,0.25541,-0.18003,0.038573,-0.14937,-0.14505,-0.022139,-0.12367,0.040753,0.023389,0.083383,-0.043718,-0.10923,-0.2215,-0.22304,-0.10261,-0.11954,-0.21531,0.082853,0.16932,-0.096267,-0.1158,-0.068608,-0.049,0.0099971,0.040529,0.0015065,-0.10242
28.162,-6.423,1.6775,1,0.11321,0.085603,0.23687,0.058404,-0.062136,0.19877,0.12936,0.16622,0.31125,0.16683,0.035153,0.453,1.2317,0.72003,0.55766,-0.0026928,-0.015178,0.032145,0.021077,-0.15942,-0.08415,-0.028571,-0.0223,0.14837,0.082653,0.14126,0.053232,0.32169,0.22332,0.15362,-0.1706,-0.013125,-0.18717,-0.16725,-0.11519,-0.2429,0.045403,0.038852,0.053824,-0.023636,-0.09618,-0.19836,-0.157,-0.036754,-0.085082,-0.19751,0.067543,0.17561,-0.11271,-0.11649,-0.11061,-0.015583,0.023753,0.077506,-0.0073249,-0.068829
28.332,-6.432,1.6771,1,0.14067,0.07826,0.2349,0.082034,-0.068525,0.14943,0.16598,0.21387,0.3075,0.18306,-0.021393,0.47093,1.2829,0.70935,0.50345,0.025631,-0.058197,-0.065596,-0.03048,-0.20657,-0.15493,-0.095299,0.014937,0.1503,0.095725,0.18329,0.037565,0.19186,0.24227,0.058261,-0.1466,-0.087956,-0.19705,-0.17722,-0.16922,-0.2932,0.048999,-0.034469,-0.052133,-0.012852,-0.083132,-0.20358,-0.12026,0.0098921,-0.050624,-0.17971,0.054264,0.17033,-0.14359,-0.13127,-0.14575,-0.050926,0.034148,0.06277,-0.023269,-0.06521
28.497,-6.4337,1.6746,1,0.16502,0.070917,0.23292,0.064193,-0.074914,0.16087,0.18413,0.26151,0.3058,0.17451,-0.01028,0.49189,1.3472,0.69866,0.44925,0.084496,-0.07699,-0.12131,-0.088766,-0.21982,-0.17729,-0.16203,0.026992,0.14875,0.1088,0.26643,0.069977,0.13219,0.27445,-0.013973,-0.13671,-0.097489,-0.20761,-0.16947,-0.17859,-0.31318,0.058356,-0.04545,-0.15801,0.00062247,-0.06706,-0.18355,-0.062734,0.052092,-0.038572,-0.18244,0.042207,0.15176,-0.1629,-0.11604,-0.17257,-0.019052,0.038386,0.057914,-0.02612,-0.051425
28.667,-6.4456,1.6746,1,0.16266,0.061027,0.22648,0.046353,-0.04014,0.16274,0.17999,0.29446,0.31362,0.16596,-0.0040717,0.56937,1.3257,0.66808,0.42825,0.11287,-0.076918,-0.13544,-0.12153,-0.225,-0.17456,-0.16137,0.066677,0.14093,0.13169,0.34749,0.05431,0.071841,0.24528,-0.0075389,-0.12966,-0.10438,-0.23321,-0.15649,-0.19084,-0.28789,0.053631,-0.089072,-0.22045,0.0064667,-0.057869,-0.15736,-0.032797,0.12836,-0.0074928,-0.16974,0.02958,0.10594,-0.14955,-0.12199,-0.19245,-0.04121,0.041499,0.023671,-0.02736,-0.047806
28.833,-6.4439,1.6732,1,0.15719,0.052161,0.22003,0.032368,-0.0064016,0.18386,0.15422,0.30276,0.32519,0.18745,0.030111,0.64224,1.3001,0.66893,0.46045,0.11487,-0.076847,-0.14188,-0.12947,-0.19765,-0.18622,-0.14591,0.10038,0.14053,0.13935,0.38328,0.087327,0.10368,0.21308,0.00182,-0.14661,-0.10061,-0.23044,-0.14351,-0.1772,-0.25264,0.10023,-0.10514,-0.21131,0.012311,-0.034392,-0.1068,0.029462,0.20326,0.02674,-0.12927,0.016953,0.055064,-0.13054,-0.11858,-0.1921,-0.063367,0.054655,0.0079462,-0.012432,-0.039417
28.993,-6.4605,1.6709,1,0.17677,0.079976,0.21232,0.036288,0.039762,0.18891,0.076756,0.33751,0.32601,0.19112,0.060157,0.70487,1.2209,0.65196,0.4862,0.11688,-0.098489,-0.14663,-0.13368,-0.17704,-0.19788,-0.13501,0.13015,0.14816,0.14126,0.37716,0.10119,0.14607,0.15017,0.025934,-0.1933,-0.10749,-0.1494,-0.13273,-0.18813,-0.2425,0.21849,-0.13169,-0.19335,-0.0010015,-0.025619,-0.080357,0.045211,0.26202,0.088211,-0.086064,0.067584,0.012611,-0.11154,-0.13247,-0.18434,-0.08629,0.066628,-0.0077787,-0.0046165,-0.061194
29.165,-6.4651,1.6717,1,0.20441,0.10779,0.20543,0.057817,0.084983,0.19397,0.064012,0.36147,0.32683,0.17795,0.081221,0.73688,1.1645,0.65158,0.53485,0.098543,-0.098606,-0.12817,-0.13222,-0.1783,-0.22819,-0.094285,0.16482,0.15391,0.15285,0.36903,0.1251,0.18846,0.092262,0.043614,-0.23021,-0.089856,-0.12171,-0.1254,-0.12967,-0.23235,0.33674,-0.13709,-0.1424,-0.014314,-0.016065,-0.014482,0.093186,0.34283,0.17327,-0.0060924,0.11821,-0.018272,-0.098164,-0.137,-0.14149,-0.040842,0.073516,0.038558,0.00067737,-0.045106
29.331,-6.473,1.6687,1,0.24699,0.1356,0.19876,0.075067,0.1302,0.17656,0.083302,0.36007,0.3316,0.19117,0.057704,0.76588,1.1208,0.62323,0.51469,0.08104,-0.096577,-0.10535,-0.12126,-0.1675,-0.22172,-0.079534,0.19556,0.17541,0.16607,0.31128,0.081774,0.19439,0.051084,0.043701,-0.25019,-0.073642,-0.096616,-0.12121,-0.10386,-0.21451,0.32937,-0.14248,-0.085815,-0.012845,-0.010316,0.011958,0.10894,0.40631,0.23474,-0.0026956,0.14598,0.014031,-0.084785,-0.14994,-0.12037,-0.087346,0.076725,0.086881,9.90E-05,-0.035211
29.499,-6.4808,1.6744,1,0.3279,0.18783,0.25135,0.047443,0.13426,0.19279,0.10259,0.36548,0.32685,0.20439,0.025205,0.72837,1.1267,0.61363,0.43386,0.066624,-0.11848,-0.077776,-0.1103,-0.14345,-0.1527,-0.10095,0.17575,0.18774,0.16274,0.26168,0.078156,0.18981,0.055329,0.03925,-0.27016,-0.046862,-0.091253,-0.14357,-0.067138,-0.20706,0.27288,-0.12375,-0.029234,-0.011375,-0.010833,-0.0030816,0.092297,0.36409,0.25663,-0.00030301,0.17431,0.061233,-0.07379,-0.14253,-0.07368,-0.088502,0.078004,0.1352,0.013111,-0.025315
29.664,-6.4856,1.6724,1,0.40882,0.24006,0.30394,0.015964,0.11661,0.22133,0.11906,0.37089,0.32209,0.18018,0.06578,0.68299,1.0695,0.60745,0.33759,0.053272,-0.11835,-0.065613,-0.10155,-0.1194,-0.066523,-0.12692,0.11057,0.19266,0.1594,0.20644,0.031189,0.15155,0.055426,0.034154,-0.24987,-0.030649,-0.11282,-0.17225,-0.053163,-0.20271,0.22361,-0.10243,-0.011601,-0.014814,-0.052305,-0.050478,0.027709,0.28037,0.2516,-0.041506,0.17856,0.1095,-0.058932,-0.13239,-0.030529,-0.066004,0.061047,0.12054,0.029026,-0.070306
29.834,-6.4795,1.6724,1,0.398,0.24172,0.31643,-0.02891,0.063628,0.25362,0.098942,0.38432,0.34433,0.15415,0.049858,0.63081,1.0151,0.64488,0.26524,0.03992,-0.096502,-0.05345,-0.077616,-0.10051,-0.067236,-0.16132,0.047092,0.14963,0.19353,0.19318,0.0033716,0.14736,0.081238,0.023842,-0.19388,-0.0038688,-0.20528,-0.1936,0.01119,-0.17325,0.057515,-0.070641,0.00041669,-0.059637,-0.098884,-0.09378,-0.0357,0.15296,0.18073,-0.090921,0.17728,0.13699,-0.044055,-0.11432,0.0064196,-0.04274,0.044089,0.08733,0.04494,-0.082073
30,-6.4934,1.6738,1,0.31461,0.22577,0.32915,-0.07562,-0.00062834,0.28121,0.10313,0.40558,0.37354,0.13494,0.04582,0.60924,0.96068,0.6621,0.19849,0.044999,-0.028785,-0.048926,-0.051561,-0.060914,-0.054793,-0.1786,-0.018085,0.12583,0.20062,0.17628,-0.027291,0.16077,0.11403,0.022313,-0.15362,-0.001225,-0.21693,-0.18452,0.01527,-0.12085,-0.11102,-0.0082841,-0.037844,-0.060437,-0.14036,-0.14575,-0.10617,0.0082203,0.072747,-0.17711,0.12612,0.16448,-0.042356,-0.096241,0.0077753,-0.061481,0.030415,0.0062769,0.028049,-0.09384
