Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56
1.667,-5.4669,1.5218,2,0.80315,0.28006,0.088907,0.3685,0.65386,-0.018441,0.18313,-0.22326,-0.42189,-0.066881,0.352,0.30742,1.1479,1.6754,1.0914,1.1958,1.7803,1.0306,0.6532,0.40232,0.3165,1.3611,0.34475,0.75346,1.2661,0.32916,0.47854,0.61782,0.1692,2.2074,0.94381,0.9874,1.3493,0.40048,1.1325,1.1046,1.8322,0.71902,1.0914,0.1518,0.35711,0.093472,0.022348,-0.10479,-0.12578,-0.35043,0.23579,0.12047,0.19242,-0.27009,-0.28543,-0.27292,-0.31081,0.046714,0.023409,0.034014
1.833,-5.4672,1.5186,2,1.1118,0.21257,0.013661,0.36688,0.66535,-0.082586,0.14371,-0.22541,-0.42629,-0.019998,0.35897,0.27776,1.1772,1.678,1.184,1.099,1.8085,1.0835,0.57774,0.37504,0.36127,1.3256,0.29385,0.70609,1.0595,0.31244,0.56873,0.70743,0.26589,2.2614,0.91428,0.97555,1.2744,0.13654,1.0108,1.0749,1.906,0.82896,1.1311,0.12981,0.3315,0.037527,-0.020252,-0.076008,-0.16655,-0.37895,0.18259,0.14892,0.27811,-0.23848,-0.30196,-0.18683,-0.30654,0.042542,-0.0078776,0.13496
1.998,-5.466,1.5153,2,1.4125,0.15134,-0.05314,0.35643,0.60826,-0.14673,0.028516,-0.23809,-0.37864,0.0041701,0.40369,0.24523,1.1561,1.5585,1.3005,1.1181,1.8782,1.148,0.48134,0.39904,0.41643,1.2894,0.18152,0.65146,0.88251,0.30101,0.63694,0.76958,0.37946,2.14,0.91253,0.92942,1.1995,-0.066768,0.87155,1.1624,2.1948,0.94847,1.0556,0.13264,0.30071,-0.002904,-0.022589,-0.046239,-0.21145,-0.39074,0.12939,0.16071,0.29107,-0.19015,-0.31437,-0.13515,-0.29842,0.0024524,-0.061293,0.19622
2.163,-5.4648,1.5186,2,1.7196,0.22784,-0.098641,0.27753,0.48742,-0.18947,0.022299,-0.24312,-0.25787,0.035001,0.37959,0.25435,1.2127,1.5486,1.382,1.1656,1.8773,1.2204,0.40322,0.43201,0.46043,1.0225,0.054585,0.59683,0.74876,0.33435,0.55107,0.79199,0.49303,1.6423,0.91758,0.86369,1.1311,-0.19891,0.73229,1.2395,2.3416,1.0519,0.94437,0.11294,0.25537,-0.043144,-0.061157,-0.019516,-0.17346,-0.34599,0.14273,0.13339,0.28748,-0.042629,-0.32028,-0.059011,-0.24996,0.037382,-0.097797,0.24523
2.333,-5.4695,1.5143,2,1.9685,0.30433,-0.097151,0.23333,0.3646,-0.21151,0.024036,-0.23991,-0.1331,0.031128,0.35548,0.31899,1.3608,1.5387,1.3732,1.2425,1.8382,1.0859,0.30982,0.45934,0.48306,0.71269,-0.01899,0.64331,0.78207,0.42715,0.44286,0.74823,0.61847,1.1447,0.93557,0.76284,0.99635,-0.23483,0.63888,1.2634,2.5452,1.1592,0.81556,0.092358,0.23091,-0.076056,-0.031127,-0.015945,-0.11717,-0.24516,0.17696,0.096551,0.2509,0.10489,-0.29997,0.017797,-0.17709,0.072312,-0.037519,0.15704
2.5,-5.4681,1.512,2,1.8679,0.37926,-0.065469,0.17978,0.27954,-0.21806,0.05868,-0.25943,-0.047364,0.021206,0.25508,0.44843,1.53,1.7363,1.2815,1.292,1.6197,0.78392,0.24129,0.41916,0.37237,0.38788,0.058138,0.66722,0.77671,0.50249,0.36843,0.68114,0.65349,0.71539,0.83407,0.63045,0.88019,-0.18846,0.57406,1.308,2.5376,1.253,0.6466,0.090698,0.19692,-0.1009,-0.0010962,0.035161,-0.054525,-0.14388,0.22496,0.11438,0.1969,0.094702,-0.26726,-0.032846,-0.1061,0.09364,-0.01422,0.084839
2.664,-5.5116,1.532,2,1.7556,0.40384,-0.061415,0.165,0.21727,-0.2032,0.14144,-0.27707,-0.041951,0.0038014,0.19244,0.51269,1.6483,1.9339,1.1222,1.2725,1.4328,0.6243,0.2529,0.36346,0.22504,0.33288,0.17776,0.65489,0.77135,0.61881,0.27089,0.54786,0.67461,0.40467,0.67872,0.41504,0.66897,-0.13512,0.47486,1.3349,2.4572,1.3468,0.465,0.089038,0.16765,-0.068024,0.049632,0.13299,0.0081223,-0.032749,0.26859,0.15954,0.17496,0.064146,-0.26733,-0.082092,-0.061482,0.13468,0.0090797,0.048889
2.834,-5.4822,1.4961,2,1.6262,0.40777,-0.087889,0.15906,0.38081,-0.18183,0.22421,-0.31414,-0.083327,-0.018087,0.092036,0.56603,1.7666,2.1116,0.93817,1.1908,1.1483,0.46587,0.26248,0.26201,0.054919,0.23067,0.29739,0.62887,0.71665,0.71592,0.17334,0.42816,0.6763,0.16258,0.49021,0.23406,0.441,-0.054348,0.34655,1.2075,2.0938,1.4622,0.28922,0.062127,0.11681,-0.044067,0.089789,0.24881,0.068326,0.051811,0.28878,0.13111,0.18834,0.03359,-0.28368,-0.095366,-0.022053,0.14817,-0.031643,0.054776
3,-5.4822,1.4889,2,1.5501,0.33101,-0.12198,0.16315,0.56073,-0.17885,0.23055,-0.3671,-0.15821,-0.052686,0.050565,0.54976,1.8707,2.1384,0.7707,1.1102,0.90932,0.30541,0.24059,0.17132,-0.1152,0.15116,0.40801,0.60285,0.7016,0.80785,0.23968,0.28361,0.67799,0.211,0.29979,0.072687,0.20347,0.026425,0.21857,1.1171,1.846,1.3836,0.16328,0.036653,0.085704,0.01817,0.16977,0.36463,0.056425,0.02608,0.24996,0.10269,0.20703,-0.024173,-0.30653,-0.093298,-0.02162,0.083014,-0.086585,0.039502
3.166,-5.4843,1.4887,2,1.4809,0.30423,-0.12681,0.15192,0.5359,-0.17587,0.22895,-0.36843,-0.2364,-0.044098,0.016919,0.46496,1.8426,2.1689,0.6886,1.0251,0.67033,0.13919,0.21243,0.1011,-0.27503,0.1112,0.4739,0.5523,0.64017,0.80562,0.30603,0.15685,0.71299,0.24432,0.11915,0.0028983,0.043972,0.087444,0.096804,1.1511,1.5399,1.1663,0.065767,0.0068664,0.039511,0.068169,0.23021,0.46157,0.0043838,-0.040505,0.2609,0.12448,0.19096,-0.076526,-0.34694,-0.082032,-0.059742,0.0059864,-0.13844,0.0060656
3.33,-5.4951,1.4846,2,1.4446,0.33023,-0.13165,0.088666,0.49122,-0.16222,0.18187,-0.32374,-0.27225,-0.031633,0.039015,0.3424,1.7459,2.2165,0.62372,0.95266,0.62608,0.19958,0.18095,0.098384,-0.29049,0.12007,0.4104,0.52433,0.6172,0.80044,0.28695,0.043018,0.74799,0.25395,0.060077,-0.020181,-0.041521,0.088598,0.023608,1.2631,1.4263,0.92151,0.064018,-0.05342,0.03528,0.11817,0.23013,0.41917,0.015176,-0.11473,0.28894,0.10817,0.18944,-0.07745,-0.38587,-0.058226,-0.08492,-0.011727,-0.1256,-0.035782
3.496,-5.4961,1.4786,2,1.3856,0.41078,-0.11872,0.011966,0.4249,-0.14207,0.17232,-0.25804,-0.29574,-0.033755,0.061111,0.28503,1.6928,2.3209,0.6177,0.96357,0.64265,0.24593,0.12757,0.10149,-0.30278,0.0801,0.29277,0.46902,0.59424,0.73737,0.24767,-0.0046394,0.75917,0.21516,0.11125,0.039762,-0.0047524,0.087075,-0.015218,1.393,1.4398,0.67676,0.075123,-0.11371,-0.031346,0.080445,0.15512,0.31079,0.027958,-0.1988,0.33236,0.091849,0.15454,-0.058003,-0.37535,-0.048358,-0.083722,-0.019033,-0.11982,-0.09309
3.667,-5.4991,1.4724,2,1.3468,0.45902,-0.087136,-0.013943,0.19833,-0.12547,0.17864,-0.19579,-0.29823,-0.031394,0.091662,0.28722,1.6396,2.4048,0.62595,0.97903,0.73897,0.30513,0.077172,0.11806,-0.23865,0.092811,0.15465,0.43082,0.60124,0.68189,0.22859,-0.0011579,0.78978,0.24499,0.17827,0.12663,0.048765,0.059185,-0.0095622,1.5598,1.4863,0.3695,0.11056,-0.14745,-0.015029,0.030223,0.05085,0.17125,0.04074,-0.25598,0.33659,0.12516,0.16093,-0.014413,-0.3205,-0.038339,-0.075657,0.0012196,-0.11856,-0.12903
3.832,-5.5021,1.4699,2,1.2727,0.47846,-0.055553,-0.013306,-0.011599,-0.12428,0.14904,-0.14132,-0.30401,-0.013711,0.10794,0.2894,1.557,2.3287,0.6896,1.0026,0.8467,0.46535,0.099113,0.13708,-0.16403,0.18968,0.038949,0.39262,0.60591,0.6264,0.20982,0.078525,0.82038,0.27479,0.35981,0.25667,0.11109,0.07906,0.086762,1.7275,1.5329,0.23684,0.13194,-0.16983,-0.0011473,-0.036862,-0.051387,0.031706,0.023699,-0.24352,0.34081,0.1241,0.1596,0.024768,-0.26565,-0.041919,-0.07278,0.0050404,-0.13171,-0.13357
3.997,-5.5077,1.4671,2,1.2414,0.41448,-0.11444,0.039056,-0.017327,-0.13663,0.10892,-0.13847,-0.29602,-0.016613,0.1164,0.30141,1.3964,2.2318,0.79697,1.0639,0.9681,0.63132,0.12106,0.21237,-0.075278,0.31587,-0.03084,0.40279,0.73975,0.6464,0.25666,0.18403,0.79921,0.39948,0.55587,0.67157,0.17342,0.19604,0.25737,1.8242,1.5947,0.21977,0.15332,-0.16877,0.030256,-0.049564,-0.082677,-0.07455,0.033167,-0.20798,0.30099,0.028737,0.16719,0.058538,-0.2571,-0.041768,-0.099873,-0.013924,-0.1443,-0.11291
4.167,-5.5157,1.4703,2,1.2511,0.28498,-0.17333,0.12747,-0.0031992,-0.14821,0.062004,-0.14507,-0.27894,-0.028102,0.20395,0.35118,1.2978,2.1227,0.91436,1.0965,1.014,0.73245,0.15925,0.28811,0.0024115,0.44207,0.0078123,0.48873,0.99434,0.77532,0.44321,0.32072,0.72511,0.61941,0.79926,1.0695,0.29105,0.46616,0.45349,1.6446,1.5223,0.22169,0.16249,-0.089353,0.026792,-0.052224,-0.021615,-0.03025,-0.0056998,-0.15495,0.25959,-0.069339,0.1476,0.092618,-0.25894,-0.03797,-0.13991,-0.056031,-0.16397,-0.10686
4.333,-5.5231,1.4744,2,1.2108,0.16515,-0.13042,0.19598,0.010929,-0.1598,-0.0073915,-0.16592,-0.23183,-0.027094,0.33505,0.42273,1.0687,1.8909,1.1082,1.1541,0.99622,0.84761,0.2911,0.35802,0.085787,0.53162,0.075713,0.60377,1.2583,0.94694,0.67186,0.51176,0.85662,0.97858,1.0188,1.4421,0.44337,0.73627,0.57676,1.4129,1.4705,0.22362,0.17153,-0.0062889,0.079383,0.022033,0.077436,0.034589,-0.052881,-0.10193,0.2213,-0.15895,0.12383,0.1267,-0.27359,-0.02163,-0.16125,-0.10765,-0.17656,-0.12488
4.5,-5.526,1.4711,2,1.1774,0.088598,-0.075086,0.1842,0.017646,-0.15861,-0.096511,-0.19007,-0.19733,-0.04515,0.41415,0.45066,0.83608,1.659,1.3418,1.2259,0.93239,0.93209,0.43437,0.42724,0.14948,0.56459,0.17669,0.69697,1.5086,1.0937,0.91045,0.66556,0.96023,1.2934,1.1939,1.7589,0.59568,0.9851,0.65243,1.226,1.362,0.29488,0.13777,0.050672,0.044889,0.10251,0.1682,0.11039,-0.11251,-0.050634,0.24964,-0.1854,0.097647,0.10872,-0.31958,-0.014843,-0.18427,-0.1507,-0.17858,-0.15836
4.663,-5.5279,1.4781,2,1.1355,0.040375,-0.028756,0.13206,0.031901,-0.13854,-0.18178,-0.20644,-0.16283,-0.078529,0.49016,0.4874,0.60705,1.6007,1.4976,1.2884,0.87222,0.94402,0.54076,0.47834,0.20269,0.5279,0.27885,0.75507,1.7789,1.2716,1.1826,0.76537,1.0638,1.6218,1.2109,1.9858,0.74183,1.1726,0.6371,1.0013,1.2535,0.37095,0.10401,0.073458,0.038547,0.20681,0.28197,0.18764,-0.15312,-0.0072127,0.2821,-0.17749,0.0625,0.090737,-0.36451,0.0055422,-0.22699,-0.16885,-0.16769,-0.19339
