Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57,Neuron 58,Neuron 59,Neuron 60,Neuron 61,Neuron 62,Neuron 63,Neuron 64,Neuron 65,Neuron 66,Neuron 67,Neuron 68
14.334,-0.57514,-2.422,1,0.20576,0.22555,0.45852,1.2717,0.50501,0.41411,0.77915,0.81076,0.52488,0.12849,0.054484,0.12913,0.31719,0.6282,0.30378,0.21928,0.27679,0.025015,-0.0041946,0.23783,0.34344,-0.010354,0.27513,0.12013,0.66275,0.88696,0.50546,0.60812,0.97123,0.54349,2.1323,0.25374,0.2443,0.54059,0.59889,0.37629,0.27938,0.35121,0.13767,1.3506,0.43936,0.62436,0.31763,0.20481,0.14668,0.049233,0.064307,0.010523,-0.035621,0.058198,0.098193,0.097293,0.048388,0.13073,0.29459,0.41819,0.39716,0.38356,0.028082,0.00063952,0.11913,0.041276,0.09256,0.29034,0.081577,-0.072697,-0.021191,-0.017555
14.499,-0.55106,-2.4268,1,0.12471,0.16592,0.43079,1.2976,0.51718,0.50368,0.73249,0.74405,0.58986,0.15147,0.095267,0.13649,0.3177,0.55184,0.29661,0.22864,0.27466,0.023045,0.016939,0.12769,0.3637,-0.0046182,0.27545,0.12024,0.634,0.8057,0.46649,0.58026,0.96549,0.61215,1.9655,0.19511,0.21173,0.49988,0.59098,0.35125,0.2669,0.39949,0.11109,1.6126,0.48458,0.75985,0.32089,0.19738,0.1457,0.028101,0.061628,0.019769,-0.048455,0.021242,0.091543,0.077393,0.022778,0.15044,0.24223,0.27497,0.29856,0.17704,0.020993,0.03196,0.064378,-0.059637,0.066645,0.27562,0.11978,-0.038798,-0.029113,-0.019777
14.665,-0.51933,-2.432,1,0.039056,0.099118,0.42486,1.4018,0.548,0.56643,0.71182,1.0718,0.85368,0.16572,0.13605,0.19382,0.36746,0.47548,0.28943,0.22485,0.29568,0.066417,0.065732,0.046701,0.34693,0.014251,0.27927,0.12036,0.60526,0.81935,0.41896,0.57723,0.98844,0.6808,1.6439,0.13225,0.16923,0.5566,0.56365,0.29938,0.19532,0.45466,0.13658,1.7814,0.42884,0.64689,0.27581,0.19536,0.14605,0.046878,0.061081,0.050266,-0.0044962,-0.011782,0.069001,0.057723,0.006922,0.16626,0.18278,0.1809,0.2415,0.15022,0.21419,0.05667,0.051937,-0.038747,0.040729,0.26426,0.15551,-0.0059189,-0.031544,-0.0087193
14.83,-0.50815,-2.4351,1,-0.024153,0.06556,0.39267,1.4959,0.56353,0.58427,0.71764,1.3996,1.1175,0.15417,0.13088,0.26102,0.39334,0.40125,0.24812,0.23412,0.31897,0.083398,0.12463,0.11282,0.27038,0.03312,0.2443,0.097694,0.55295,0.84117,0.36863,0.5523,0.92132,0.6816,1.1986,0.071404,0.12223,0.58735,0.61472,0.22239,0.1696,0.50984,0.15657,1.7188,0.33125,0.49542,0.16742,0.15798,0.14641,0.083875,0.048735,0.082621,0.031619,0.013807,0.040727,0.041269,-0.0057279,0.15554,0.12332,0.16611,0.26851,0.28295,0.45283,0.073778,0.098327,-0.010028,0.076239,0.25471,0.16045,0.015133,-0.047554,0.026802
15,-0.4913,-2.4437,1,-0.0012461,0.040266,0.36047,1.4848,0.508,0.61352,0.69659,1.4888,1.33,0.16883,0.20456,0.30969,0.40413,0.32897,0.20457,0.22035,0.28204,0.12874,0.15516,0.17894,0.19383,0.051716,0.22421,0.075998,0.49941,0.83154,0.32326,0.54422,0.79745,0.58847,0.7533,0.070421,0.075241,0.55507,0.66579,0.21523,0.1512,0.47725,0.17584,1.3889,0.17279,0.33994,0.069417,0.086459,0.1567,0.12087,0.053359,0.11498,0.056738,0.048319,0.027891,0.045296,0.010596,0.12349,0.11301,0.1778,0.2656,0.36389,0.46565,0.10152,0.13216,0.073853,0.096667,0.22064,0.12483,0.019734,-0.046819,0.062324
15.166,-0.47356,-2.4468,1,0.109,0.022134,0.33076,1.4688,0.50769,0.6463,0.69358,1.5232,1.4591,0.22428,0.27978,0.34938,0.41022,0.26473,0.16102,0.21552,0.24473,0.15271,0.19411,0.21508,0.12352,0.061092,0.20413,0.069188,0.44586,0.8171,0.28778,0.54368,0.61865,0.49534,0.31263,0.085647,0.031887,0.38396,0.6774,0.20807,0.17801,0.34449,0.21336,1.0135,0.10349,0.1806,0.028227,0.013621,0.15503,0.13434,0.041754,0.13976,0.053488,0.065698,0.020768,0.046314,0.010559,0.090823,0.084229,0.16584,0.21324,0.43466,0.46257,0.11025,0.16393,0.15773,0.12399,0.18419,0.089214,0.024271,-0.045244,0.072073
15.331,-0.47216,-2.4477,1,0.24059,0.024483,0.32128,1.3543,0.50333,0.60493,0.76781,1.4872,1.5327,0.31738,0.36627,0.35444,0.40305,0.17286,0.12179,0.21069,0.16634,0.21694,0.19828,0.25122,0.05393,0.063828,0.142,0.072592,0.36017,0.77459,0.25923,0.49251,0.57985,0.36347,0.28512,0.097314,0.035111,0.1821,0.66961,0.15402,0.1989,0.16769,0.23672,0.69009,0.033318,0.018979,0.028711,-0.034146,0.15266,0.13581,0.058724,0.15768,0.051602,0.07352,0.012279,0.040353,0.0055601,0.048554,0.067696,0.17194,0.15494,0.46218,0.43155,0.12575,0.19989,0.22111,0.12066,0.10698,0.068834,0.027118,-0.040864,0.13571
15.501,-0.4775,-2.4497,1,0.36109,0.033994,0.30977,1.2399,0.49851,0.55981,0.81817,1.2256,1.5881,0.41921,0.45277,0.35396,0.37725,0.080989,0.082571,0.20844,0.087962,0.25348,0.20246,0.26095,0.035113,0.060968,0.089442,0.075996,0.27448,0.66738,0.23069,0.44134,0.54106,0.23574,0.27398,0.11121,0.094523,0.014571,0.67134,0.052102,0.26665,0.049293,0.19851,0.37737,0.041002,0.019087,0.053775,-0.078847,0.13395,0.10504,0.07007,0.17149,0.03976,0.061105,0.018411,0.034163,-0.0022691,0.010182,0.0789,0.12891,0.073478,0.39521,0.2199,0.16177,0.19354,0.26204,0.12964,0.029758,0.060155,0.024694,-0.036484,0.18608
15.666,-0.4845,-2.4509,1,0.36581,0.054108,0.32586,1.2364,0.58006,0.55069,0.86757,1.0108,1.6435,0.46312,0.53404,0.34113,0.37532,0.089251,0.081398,0.19633,0.024831,0.31273,0.21017,0.26146,0.066743,0.058108,0.097946,0.099144,0.18657,0.48818,0.19482,0.43122,0.4404,0.207,0.2637,0.13124,0.15305,0.007191,0.67628,-0.024686,0.29204,0.039718,0.16031,0.058612,0.048686,0.019195,0.060035,-0.082582,0.11523,0.056049,0.084443,0.17568,0.035763,0.037778,0.035202,0.058038,-0.010061,0.01417,0.090103,0.094699,-0.0079861,0.44431,0.036255,0.19302,0.18719,0.30297,0.13512,0.050034,0.063582,0.022269,-0.03324,0.19262
15.827,-0.47825,-2.4519,1,0.35392,0.040926,0.34195,1.3329,0.64545,0.53928,0.94691,0.95885,1.6702,0.441,0.51642,0.31054,0.37339,0.097248,0.086733,0.17321,0.014156,0.28951,0.17951,0.26197,0.098372,0.044778,0.10803,0.08971,0.14166,0.36869,0.16077,0.38674,0.39218,0.19882,0.24257,0.13381,0.21157,0.026168,0.6818,0.046076,0.30662,0.047455,0.11644,-0.013048,0.020728,0.0033448,0.055898,-0.04884,0.11099,0.0060702,0.07294,0.17987,0.031765,0.0017678,0.062041,0.081444,-0.011857,0.041462,0.079412,0.12159,0.026472,0.62595,0.1385,0.20929,0.19667,0.3339,0.15284,0.098474,0.074743,0.018098,-0.029997,0.19917
15.999,-0.46978,-2.4539,1,0.27824,0.024931,0.36265,1.3697,0.62774,0.52664,0.95309,0.96459,1.651,0.38079,0.44897,0.25109,0.31085,0.095522,0.092067,0.14517,0.011251,0.23579,0.13236,0.23526,0.10425,0.039383,0.09211,0.04996,0.093665,0.24065,0.11884,0.316,0.40354,0.19064,0.20758,0.12136,0.22896,0.18398,0.67315,0.11684,0.31459,0.15537,0.086376,0.020154,-0.011463,-0.012882,0.037782,0.00033794,0.11253,-0.025829,0.083857,0.17722,0.028433,-0.034242,0.088879,0.066986,-0.007772,0.070971,0.082373,0.17283,0.089671,0.87545,0.24074,0.18444,0.20616,0.33948,0.16231,0.1493,0.085904,0.024055,-0.039699,0.20572
16.167,-0.47748,-2.4576,1,0.17771,-0.018706,0.36313,1.391,0.58325,0.51171,0.83746,0.97232,1.6018,0.27969,0.37541,0.19647,0.24831,0.093071,0.087844,0.11964,0.018298,0.14563,0.11594,0.20101,0.10547,0.033335,0.064938,-0.010888,0.031417,0.17421,0.069978,0.2547,0.32997,0.1869,0.15643,0.11246,0.20764,0.3418,0.6645,0.15074,0.31511,0.3122,0.074646,0.10915,-0.018812,-0.030217,0.0073646,0.036289,0.09887,-0.045736,0.054068,0.17047,0.029401,-0.060329,0.13027,0.059507,0.00053026,0.11077,0.081267,0.20793,0.17161,1.1148,0.33239,0.138,0.20944,0.35753,0.17562,0.18554,0.081544,0.0317,-0.045473,0.15772
16.332,-0.47007,-2.4679,1,0.078861,-0.052712,0.36754,1.4213,0.53921,0.50235,0.72691,1.0664,1.4956,0.20026,0.31387,0.17733,0.21208,0.085302,0.08362,0.097566,0.025346,0.037834,0.099522,0.16402,0.09296,0.017619,0.02819,-0.074908,-0.022827,0.084107,0.021112,0.19408,0.2564,0.19219,0.10731,0.12324,0.13013,0.55178,0.63473,0.22235,0.22693,0.43789,0.081836,0.18742,0.0010258,-0.034171,-0.033528,0.057329,0.064517,-0.068824,0.024207,0.16841,0.045115,-0.046737,0.14228,0.090067,0.011663,0.14423,0.047853,0.24109,0.2705,1.2694,0.45507,0.085779,0.21247,0.33616,0.17663,0.21557,0.067948,0.05842,-0.061087,0.10344
16.498,-0.49197,-2.4797,1,0.073347,-0.074015,0.37195,1.3507,0.50476,0.49356,0.6173,1.097,1.4119,0.17001,0.28258,0.17754,0.17584,0.070064,0.069917,0.093741,0.026813,-0.04186,0.097814,0.11766,0.063278,0.030021,0.014852,-0.11043,-0.020649,0.091267,-0.013569,0.15674,0.30078,0.19972,0.076615,0.1279,0.083388,0.60676,0.60495,0.28424,0.23921,0.45475,0.079608,0.30458,0.021788,-0.029577,-0.045221,0.033445,0.027858,-0.086378,-0.0029861,0.18007,0.060828,-0.014852,0.1436,0.090241,0.014447,0.12896,0.026045,0.23562,0.36939,1.1891,0.54973,0.039111,0.1871,0.32917,0.15201,0.19478,0.064633,0.062632,-0.061401,0.10279
16.663,-0.51315,-2.482,1,0.13853,-0.040436,0.38388,1.3021,0.5171,0.49538,0.53503,1.12,1.3917,0.21799,0.27671,0.19552,0.13961,0.055093,0.054726,0.10092,0.035647,-0.022391,0.14824,0.071306,0.045657,0.056201,0.001513,-0.10942,-0.035151,0.098426,0.0077234,0.1613,0.34515,0.22374,0.092119,0.11755,0.041159,0.6984,0.70849,0.21491,0.22395,0.46658,0.076791,0.31494,0.0499,-0.0043476,-0.056914,-0.0072008,0.010509,-0.10192,-0.010158,0.19173,0.070863,0.020794,0.10702,0.086725,0.011607,0.081467,0.026132,0.23014,0.36651,0.98448,0.49816,0.035959,0.15845,0.28917,0.12723,0.17294,0.066143,0.066376,-0.061715,0.12014
16.833,-0.52915,-2.4831,1,0.21962,-0.0016384,0.38905,1.3393,0.55732,0.54036,0.65852,1.0282,1.3998,0.26597,0.32935,0.24194,0.14759,0.11005,0.039623,0.11368,0.036713,0.072165,0.19868,0.074363,0.053792,0.050272,0.01208,-0.046529,-0.04657,0.12195,0.040525,0.19616,0.34558,0.23221,0.16074,0.12224,0.043444,0.76057,0.81139,0.14558,0.23917,0.51734,0.073878,0.35707,0.074109,0.021258,-0.043392,-0.063282,0.0010331,-0.081207,-0.0033234,0.19104,0.075761,0.054724,0.070449,0.10497,0.006703,0.03237,0.039304,0.20245,0.31277,0.72216,0.44555,0.094169,0.14038,0.25235,0.10244,0.1628,0.067653,0.058184,-0.049417,0.14112
16.998,-0.54923,-2.4842,1,0.3042,0.086936,0.42722,1.399,0.59056,0.58763,0.80853,0.94904,1.4295,0.34537,0.38199,0.28836,0.16921,0.16527,0.023647,0.12188,0.059215,0.13968,0.21244,0.084952,0.037888,0.038113,0.033395,0.016366,-0.05433,0.11124,0.075785,0.23171,0.35381,0.22514,0.24564,0.1246,0.084445,0.81226,0.91104,0.12776,0.2244,0.56068,0.052175,0.35413,0.089425,0.035488,-0.020342,-0.12141,-0.0052141,-0.060493,0.029567,0.18925,0.0704,0.082362,0.021737,0.12321,0.0025436,-0.024039,0.043052,0.17282,0.24123,0.46926,0.37702,0.1672,0.12381,0.20306,0.073808,0.15926,0.076542,0.049992,-0.035491,0.18101
17.164,-0.57676,-2.4909,-1,0.37242,0.16845,0.41841,1.4697,0.58763,0.58307,0.9121,0.79313,1.4481,0.38363,0.41373,0.29745,0.18931,0.21776,0.0077591,0.12758,0.08464,0.19072,0.21473,0.1109,0.021984,0.017271,0.070249,0.082432,-0.061079,0.13582,0.14794,0.28877,0.39047,0.2049,0.33054,0.10728,0.12082,0.77448,1.0417,0.1626,0.29261,0.59962,0.032969,0.43934,0.056244,0.049718,0.0048725,-0.13444,-0.022027,-0.036598,0.065125,0.18687,0.056416,0.085324,0.002397,0.10463,-0.0047803,-0.074115,0.040344,0.12079,0.13906,0.27169,0.26053,0.19337,0.10748,0.19266,0.042979,0.16192,0.092532,0.019887,-0.0059024,0.22718
17.334,-0.58592,-2.4904,-1,0.41701,0.24194,0.40502,1.5436,0.56749,0.58684,0.92689,0.6538,1.4551,0.4211,0.42045,0.28976,0.20941,0.27171,0.002337,0.12859,0.11759,0.21365,0.22844,0.12602,0.010067,-0.037823,0.10496,0.13023,-0.052108,0.13706,0.24212,0.32611,0.46113,0.18176,0.40464,0.088661,0.12298,0.71427,1.2401,0.24244,0.25686,0.59875,0.00035907,0.52763,0.022137,0.075488,0.025174,-0.10815,-0.036534,-0.018291,0.098016,0.17324,0.042431,0.072514,-0.016897,0.086057,-0.0078047,-0.093804,0.023556,0.0779,0.027033,0.20277,0.13912,0.19722,0.10309,0.23445,0.043963,0.16458,0.10748,0.012288,0.02197,0.26707
17.499,-0.60919,-2.4978,-1,0.38176,0.28653,0.38411,1.5956,0.51673,0.61852,0.9303,0.51448,1.4652,0.42017,0.43247,0.28207,0.21404,0.32565,0.0026818,0.12233,0.13428,0.25984,0.22538,0.14288,-0.0065694,-0.092916,0.12124,0.15438,-0.0080357,0.13829,0.3112,0.36344,0.46615,0.17145,0.37484,0.085044,0.13641,0.58617,1.3045,0.32961,0.27253,0.53694,-0.01022,0.71196,0.0045482,0.080818,0.033384,-0.091132,-0.038517,-0.0088154,0.11103,0.15962,0.022474,0.059703,-0.020785,0.056482,-0.010829,-0.1039,0.0067679,0.035015,-0.040975,0.28248,0.10388,0.17865,0.098699,0.25779,0.045119,0.19678,0.11617,0.0014522,0.054707,0.31016
17.665,-0.62676,-2.4946,-1,0.3177,0.30061,0.36319,1.6154,0.50288,0.60476,0.77633,0.45521,1.5037,0.42551,0.43427,0.27489,0.21836,0.3016,0.0030219,0.11301,0.15097,0.27716,0.22232,0.16,-0.023206,-0.10502,0.14317,0.13207,0.04082,0.11458,0.35429,0.33258,0.44019,0.20121,0.29332,0.081428,0.14756,0.38464,1.1636,0.36695,0.2582,0.43618,-0.020702,0.74349,-0.0049057,0.08543,0.01638,-0.074117,-0.037997,-0.020572,0.11317,0.15256,0.0069877,0.048608,-0.024672,0.043011,-0.014857,-0.1057,0.0092683,-0.024109,-0.051552,0.32258,0.12448,0.1486,0.082174,0.33613,0.046275,0.23035,0.12378,0.015756,0.084659,0.34963
17.825,-0.64084,-2.4797,-1,0.24621,0.25915,0.3095,1.6324,0.49601,0.58767,0.63324,0.45482,1.535,0.41237,0.43214,0.26779,0.20905,0.27008,0.0034444,0.10531,0.15256,0.27782,0.19697,0.17823,-0.011878,-0.085239,0.16509,0.11188,0.081232,0.091367,0.37338,0.28054,0.38764,0.28663,0.21167,0.080579,0.13594,0.16428,1.0259,0.36059,0.26976,0.21079,-0.016555,0.77486,-0.014571,0.10406,-0.0089359,-0.064649,-0.037477,-0.034287,0.083559,0.12079,-0.0084983,0.027893,-0.01863,0.031293,-0.015961,-0.10018,0.025262,-0.060617,-0.044594,0.39364,0.16099,0.11855,0.064287,0.38163,0.04743,0.25882,0.118,0.030059,0.10625,0.36662
18,-0.65472,-2.4752,-1,0.18939,0.19535,0.26703,1.6682,0.50972,0.56349,0.53058,0.55889,1.5774,0.41869,0.43888,0.26817,0.19434,0.24661,0.011727,0.097623,0.15123,0.29495,0.18309,0.19049,0.00295,-0.055158,0.17147,0.093721,0.077031,0.064668,0.33482,0.2003,0.31551,0.37204,0.17419,0.082803,0.12408,-0.053127,0.90692,0.28667,0.28601,0.10898,-0.034219,0.71809,-0.0076555,0.11177,0.011304,-0.066809,-0.020765,-0.048003,0.053946,0.086879,-0.020119,0.0084797,0.016815,0.018355,-0.013901,-0.094669,0.058255,-0.09102,0.011022,0.42091,0.21552,0.12055,0.045882,0.4127,0.051458,0.24489,0.11066,0.053495,0.11705,0.36555
18.165,-0.68662,-2.4663,-1,0.20092,0.13156,0.26725,1.7006,0.53103,0.57245,0.51792,0.66297,1.5762,0.43214,0.45943,0.26855,0.17963,0.23741,0.029181,0.089932,0.14386,0.31224,0.1823,0.20226,0.013792,-0.018944,0.15245,0.12248,0.057109,0.036043,0.27015,0.11652,0.24338,0.45812,0.16041,0.086313,0.11118,-0.092651,0.72794,0.17749,0.34172,-0.00055483,-0.02906,0.50098,-0.0045347,0.098379,0.036456,-0.068968,-0.0080812,-0.055287,0.02018,0.058921,-0.03174,0.0090259,0.052261,0.0054175,-0.0080775,-0.09265,0.079104,-0.079314,0.076498,0.43785,0.27497,0.15533,0.044464,0.3345,0.049298,0.23095,0.10421,0.072782,0.12208,0.36447
18.331,-0.70511,-2.4562,-1,0.22527,0.098913,0.32216,1.6529,0.52085,0.50313,0.55514,0.73215,1.5625,0.47707,0.46931,0.26901,0.18821,0.24087,0.05958,0.091167,0.15314,0.26687,0.18451,0.21228,0.012446,0.016855,0.15185,0.17295,0.026332,0.068566,0.21675,0.099557,0.23994,0.49059,0.25483,0.074762,0.082504,-0.043294,0.58957,0.086404,0.40331,-0.0016168,-0.024236,0.28388,-0.017931,0.083237,0.042517,-0.076215,-0.010605,-0.054763,0.0053921,0.060943,-0.032959,0.009572,0.073287,0.015616,-0.0025332,-0.095149,0.099954,-0.08905,0.13452,0.37183,0.33442,0.17334,0.046969,0.28914,0.041255,0.19529,0.10401,0.08681,0.12224,0.34219
18.501,-0.73964,-2.4462,-1,0.25014,0.1519,0.37708,1.5965,0.47371,0.43154,0.56725,0.73312,1.5299,0.51575,0.42675,0.26939,0.19678,0.25214,0.076867,0.080737,0.16242,0.1867,0.15359,0.22225,0.0074148,-0.0042853,0.14771,0.22536,0.015988,0.12604,0.21754,0.15737,0.26992,0.49245,0.35487,0.06226,0.036358,0.10898,0.65659,0.089905,0.4649,0.038037,-0.016607,0.18778,-0.031327,0.059321,0.024999,-0.083463,-0.019005,-0.0445,-0.019615,0.062965,-0.050461,-0.0075731,0.094313,0.025813,-0.00044652,-0.11277,0.054498,-0.099338,0.1494,0.27426,0.31981,0.18366,0.051026,0.18197,0.023779,0.14655,0.10081,0.071488,0.11728,0.2919
18.666,-0.75968,-2.4311,-1,0.27491,0.21066,0.44202,1.5401,0.35616,0.36327,0.50191,0.71059,1.4697,0.51915,0.38489,0.2554,0.19301,0.2672,0.091459,0.090874,0.15314,0.15206,0.1327,0.23109,0.002384,-0.050423,0.13223,0.27566,0.032615,0.17271,0.26461,0.23638,0.30004,0.42842,0.45491,0.049322,0.01299,0.27427,0.6817,0.12771,0.44833,0.16677,-0.0089771,0.22121,-0.046378,0.045633,0.017215,-0.10095,-0.025716,-0.03567,-0.013549,0.069573,-0.067964,-0.020042,0.096855,0.010548,-0.011887,-0.12357,0.0090426,-0.137,0.13479,0.20748,0.30519,0.17404,0.032244,0.10031,-0.012976,0.086113,0.092877,0.038173,0.096908,0.24584
18.831,-0.77386,-2.4246,-1,0.27545,0.25547,0.50964,1.3555,0.2542,0.35719,0.43657,0.62218,1.4094,0.51381,0.31053,0.24132,0.1781,0.27869,0.07641,0.098939,0.14385,0.1219,0.11082,0.32251,-0.0060398,-0.072993,0.11262,0.2736,0.084844,0.20773,0.33245,0.31925,0.32131,0.35202,0.50247,0.060392,0.038421,0.42156,0.65764,0.09813,0.43175,0.27253,-0.024799,0.44049,-0.062577,0.043973,-0.027813,-0.11672,-0.031454,-0.026841,-0.0012556,0.078326,-0.053728,-0.03251,0.067308,-0.0047184,-0.023327,-0.12654,-0.0017773,-0.15166,0.085183,0.18566,0.33303,0.13023,0.010235,0.021322,-0.050408,0.068094,0.079401,0.0048591,0.081071,0.22504
18.997,-0.78891,-2.4103,-1,0.22992,0.28976,0.53915,1.2563,0.19654,0.37145,0.38317,0.54901,1.4356,0.51089,0.22236,0.22722,0.15252,0.28063,0.052103,0.107,0.16053,0.10626,0.065429,0.50444,-0.010557,-0.060887,0.10128,0.22725,0.11746,0.22792,0.3829,0.38184,0.30519,0.27562,0.51053,0.071463,0.098639,0.40826,0.6259,0.068553,0.37571,0.42583,-0.040621,0.89846,-0.080681,0.35218,-0.060486,-0.12747,-0.0069412,-0.039148,0.030104,0.10374,-0.0335,-0.049512,0.037762,-0.012227,-0.031937,-0.099312,0.0020212,-0.18198,0.039501,0.16445,0.41828,0.070396,-0.016881,0.077857,-0.074155,0.066664,0.071556,0.0019396,0.065234,0.20424
19.334,-0.79532,-2.3771,-1,0.18439,0.29102,0.51396,1.2372,0.22508,0.46534,0.29245,0.52476,1.4538,0.45564,0.14058,0.2131,0.10816,0.26656,0.021997,0.11342,0.19388,0.10388,0.051848,0.68637,-0.0059243,0.0020928,0.092651,0.18152,0.11932,0.17242,0.40455,0.36165,0.28602,0.25013,0.462,0.096086,0.15886,1.6105,0.45104,0.04768,0.20529,0.54835,-0.062231,1.3564,-0.10431,0.66214,-0.050572,-0.091169,0.023724,-0.051456,0.051243,0.11711,-0.0058622,-0.058837,0.027003,-0.021055,-0.037658,-0.064782,-0.0038235,-0.17885,0.0051233,0.16807,0.50353,0.016724,-0.05603,0.13439,-0.073707,0.07259,0.07153,0.018938,0.048987,0.18344
19.498,-0.84061,-2.3376,-1,0.17339,0.23475,0.48002,1.3765,0.2911,0.52594,0.338,0.56835,1.5488,0.47497,0.11704,0.19905,0.06379,0.25091,0.013052,0.13469,0.25045,0.1412,0.099935,0.70285,0.033145,0.11866,0.097643,0.13653,0.085127,0.08625,0.37696,0.32326,0.2548,0.28341,0.41737,0.12024,0.19135,2.8128,0.20282,0.010861,0.034876,0.64394,-0.083145,1.4255,-0.12795,0.65825,-0.017078,-0.0453,0.056076,-0.058481,0.074978,0.1459,0.043336,-0.042063,0.020464,-0.023313,-0.040427,-0.024107,0.031713,-0.16106,0.0035562,0.24285,0.53608,0.0029465,-0.095179,0.20473,-0.047184,0.092581,0.084751,0.041955,0.032355,0.21073
19.663,-0.82259,-2.3645,-1,0.1911,0.18516,0.45545,1.5354,0.42754,0.6221,0.47692,0.61193,1.6548,0.45413,0.11699,0.23777,0.051579,0.23892,0.021575,0.15615,0.30733,0.20842,0.16027,0.71814,0.072215,0.22898,0.11397,0.094285,0.028743,0.011083,0.30734,0.27197,0.25541,0.37345,0.40011,0.14439,0.22384,2.8725,-0.0034765,-0.025958,-0.029208,0.75106,-0.098704,1.3652,-0.1439,0.64487,0.0066809,0.0010584,0.086741,-0.052297,0.086494,0.19592,0.092534,-0.016881,0.029373,0.0057539,-0.029843,-0.0016739,0.081783,-0.1576,0.018828,0.27617,0.54858,0.020891,-0.067021,0.28077,0.0017697,0.13735,0.10865,0.07502,0.031136,0.26883
19.833,-0.78024,-2.3936,1,0.23305,0.23498,0.53533,1.7837,0.5581,0.6807,0.59112,0.77217,1.7607,0.45229,0.14944,0.27648,0.074127,0.23432,0.057867,0.16384,0.31542,0.27723,0.20791,0.62599,0.093875,0.25054,0.11313,0.10514,-0.015822,-0.038921,0.23773,0.21426,0.25978,0.47586,0.39116,0.15303,0.2124,2.9503,-0.045018,0.060727,0.030657,0.79313,-0.059502,1.1832,-0.1124,0.66919,0.044024,0.024076,0.11794,-0.030777,0.091782,0.24071,0.081522,0.0083013,0.024786,0.035956,-0.019258,0.008697,0.086673,-0.16005,0.034099,0.3049,0.46942,0.073017,-0.035118,0.34869,0.050723,0.16834,0.13215,0.10572,0.06962,0.31973
19.998,-0.753,-2.4164,1,0.30548,0.31543,0.6152,1.8385,0.61724,0.68581,0.70928,0.82732,1.6995,0.42017,0.16311,0.28822,0.11062,0.23707,0.09416,0.18737,0.30653,0.33136,0.24909,0.43504,0.089663,0.23471,0.091624,0.12545,-0.027978,-0.056822,0.19226,0.17682,0.31824,0.55942,0.40038,0.16234,0.15321,2.9374,-0.051871,0.28695,0.090522,0.8152,-0.004801,0.93368,-0.062198,0.38975,0.083983,0.035833,0.12292,0.0055032,0.070246,0.26884,0.064517,0.031425,0.020199,0.0584,-0.0074947,-0.017038,0.065983,-0.17526,0.029478,0.28264,0.31687,0.11028,0.016133,0.26852,0.08234,0.18275,0.1508,0.11017,0.1081,0.35416
20.165,-0.73436,-2.4345,1,0.37609,0.40791,0.69762,1.8482,0.6488,0.63582,0.81487,0.86843,1.6254,0.43043,0.1704,0.29988,0.15809,0.24713,0.12212,0.21131,0.28463,0.34365,0.24962,0.23287,0.076118,0.15427,0.067407,0.14344,-0.012201,-0.041832,0.16798,0.17105,0.37671,0.63198,0.42654,0.17316,0.091043,1.7149,0.057428,0.48637,0.22549,0.77323,0.069295,0.63736,0.007695,0.11793,0.097567,0.022695,0.12443,0.040158,0.048709,0.27339,0.034845,0.031726,0.043327,0.075286,0.0006217,-0.052377,0.032099,-0.20247,0.01928,0.23681,0.16432,0.13998,0.078333,0.18834,0.073536,0.16918,0.15987,0.079132,0.13825,0.38355
20.334,-0.71081,-2.4597,1,0.42455,0.5004,0.78516,1.6768,0.57129,0.61402,0.83408,0.8791,1.477,0.36655,0.22015,0.3213,0.21148,0.26277,0.1339,0.23207,0.23952,0.34576,0.21911,0.182,0.031822,0.055993,0.059459,0.18417,0.029185,0.023342,0.22442,0.19777,0.40903,0.65272,0.49317,0.15787,0.070327,0.49231,0.24177,0.64021,0.36045,0.71094,0.13989,0.81075,0.12961,0.1829,0.12224,-9.95E-06,0.11057,0.053031,0.034797,0.25863,-0.010839,0.022457,0.062235,0.085602,0.0060588,-0.087038,-0.0017854,-0.21271,0.0052991,0.16905,0.08698,0.13689,0.14053,0.12334,0.048089,0.15574,0.15381,0.040478,0.16012,0.3791
