Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57,Neuron 58,Neuron 59,Neuron 60,Neuron 61,Neuron 62,Neuron 63,Neuron 64,Neuron 65,Neuron 66,Neuron 67,Neuron 68
1.667,-0.51649,-2.3209,-1,0.24877,0.017269,0.070221,-0.29192,0.028251,0.15566,0.56642,0.81189,1.2898,0.60219,0.54805,0.55727,0.31821,0.29237,0.3455,0.33838,0.8634,1.2352,0.52726,0.99229,0.83926,0.45442,0.079179,0.0026902,-0.11499,-0.027797,-0.073249,0.036098,0.12473,0.093269,0.42902,0.068109,0.1963,0.41593,0.50493,0.2625,0.12611,0.45636,0.025537,0.11729,0.12677,0.19793,-0.085683,-0.043181,-0.011261,0.039145,0.18635,0.10107,0.10573,-0.0052404,0.0062938,0.055255,0.13842,0.0021941,0.0082631,-0.015448,0.10003,0.42826,0.08027,0.19774,0.24538,0.53938,0.37028,0.061787,0.042817,0.36127,0.17895,0.68929
1.834,-0.5062,-2.3298,-1,0.3754,0.10069,0.18719,-0.29537,0.069574,0.20768,0.73834,0.99459,1.3551,0.71354,0.64523,0.66604,0.37251,0.28945,0.34587,0.35779,0.8738,1.2638,0.56465,1.0087,0.80099,0.41052,0.1282,0.028458,-0.061941,0.02556,-0.075558,0.091744,0.14837,0.089544,0.46373,0.07979,0.27756,0.41074,0.46529,0.30848,0.16622,0.49131,-0.022277,0.035813,0.091858,0.19267,-0.045541,-0.07087,0.0014186,0.041674,0.15671,0.11404,0.103,-0.0087761,0.024578,0.061159,0.13565,-0.017403,0.014786,-0.04429,0.097867,0.24118,0.10666,0.24257,0.23346,0.51891,0.3265,0.044021,0.093202,0.31581,0.22521,0.74766
1.998,-0.50301,-2.3358,-1,0.48962,0.19592,0.22267,-0.29882,0.085436,0.27786,0.88743,1.2071,1.397,0.82489,0.71114,0.77481,0.43613,0.31721,0.37322,0.35335,0.91664,1.2924,0.5954,1.0403,0.76122,0.37387,0.17723,0.081312,-0.0088954,0.078917,-0.022721,0.14739,0.18738,0.049478,0.50558,0.10584,0.35881,0.34416,0.43669,0.34535,0.18503,0.49502,-0.070092,-0.045667,0.056944,0.19007,-0.0053991,-0.14276,0.014098,0.042415,0.13053,0.088892,0.087858,0.01415,0.028992,0.044454,0.14179,-0.022964,0.030616,-0.067656,0.10664,0.054101,0.1008,0.27418,0.23322,0.44151,0.30485,0.029362,0.14359,0.27544,0.25,0.80602
2.163,-0.49894,-2.3497,-1,0.52626,0.27621,0.26766,-0.31226,0.10919,0.25167,0.8888,1.3782,1.3371,0.77909,0.65606,0.86442,0.49976,0.3961,0.39696,0.35463,0.95948,1.1571,0.54204,1.0217,0.72146,0.35251,0.18562,0.10109,0.039259,0.12271,0.087999,0.20569,0.24103,0.0094126,0.54535,0.10633,0.39295,0.38924,0.45125,0.33718,0.22514,0.56308,-0.011397,0.020803,0.099655,0.2096,0.003279,-0.15595,0.0052668,0.064886,0.096,0.061777,0.057639,0.030866,0.042586,0.05585,0.14847,0.037246,0.049824,-0.067576,0.10135,-0.074894,0.074454,0.22851,0.21769,0.34626,0.26223,-0.0052116,0.17473,0.20261,0.26297,0.81079
2.334,-0.493,-2.3535,-1,0.45405,0.26272,0.21339,-0.32279,0.11506,0.15702,0.68757,1.4094,1.1545,0.6936,0.56913,0.81464,0.4821,0.47682,0.38128,0.3635,0.93271,1.0218,0.48363,0.99297,0.68645,0.34057,0.19401,0.10119,0.065916,0.16889,0.19872,0.264,0.29468,0.096992,0.5193,0.11304,0.37755,0.36116,0.49755,0.31388,0.23984,0.58903,0.047297,0.37976,0.31269,0.42051,0.016424,-0.1283,-0.011123,0.071979,0.061468,0.015722,0.02742,0.010568,0.042403,0.057051,0.13306,0.099259,0.06314,-0.067464,0.078357,-0.019092,0.041312,0.1341,0.1812,0.27148,0.21961,-0.039786,0.16084,0.12979,0.25044,0.73403
2.499,-0.49819,-2.3589,-1,0.31402,0.22716,0.13946,-0.25805,0.11215,0.10093,0.48633,1.1891,0.86158,0.56379,0.50206,0.70637,0.42894,0.53649,0.36649,0.37084,0.88076,0.92095,0.3852,0.91549,0.65144,0.34309,0.23226,0.10129,0.11364,0.23037,0.29085,0.33989,0.33025,0.18858,0.49053,0.11974,0.35879,0.41305,0.53514,0.29057,0.24792,0.63206,0.13157,0.75116,0.561,0.63141,0.093406,-0.074326,-0.033515,0.077167,0.08996,-0.020285,0.015357,-0.015886,0.045761,0.042677,0.11387,0.14192,0.070249,-0.067351,0.031946,0.046244,-0.0070883,0.039696,0.14495,0.23583,0.16564,-0.059406,0.12628,0.1267,0.21227,0.64432
2.664,-0.50193,-2.3673,-1,0.1824,0.19076,0.072581,-0.19321,0.1051,0.044676,0.27047,0.89871,0.63798,0.46802,0.41513,0.57665,0.36005,0.53877,0.36402,0.37153,0.82037,0.84059,0.27399,0.80158,0.56755,0.36697,0.27181,0.10652,0.15527,0.2783,0.34464,0.392,0.34686,0.20365,0.47707,0.13731,0.34002,0.46044,0.57033,0.26911,0.24732,0.65317,0.18244,1.1018,0.79771,0.78407,0.18296,-0.0024962,-0.032731,0.062937,0.12644,-0.032586,0.011373,-0.054036,0.038008,-0.0041645,0.087227,0.17127,0.068119,-0.079569,-0.01638,0.16118,-0.055975,-0.043419,0.10371,0.22114,0.11166,-0.074718,0.077039,0.1285,0.14819,0.50193
2.834,-0.49488,-2.3646,-1,0.064081,0.17825,0.06422,-0.19777,0.082768,-0.037737,0.073312,0.57846,0.43777,0.42013,0.33237,0.45096,0.31283,0.52606,0.37274,0.38138,0.7821,0.67163,0.16277,0.66323,0.52786,0.31544,0.25388,0.08466,0.17432,0.28716,0.34693,0.43128,0.34809,0.20686,0.40255,0.1318,0.28321,0.52663,0.69723,0.25675,0.24673,0.66469,0.26043,1.4149,0.82824,0.8164,0.20787,0.064666,-0.031947,0.043137,0.1629,-0.021604,-0.026555,-0.085887,0.028109,-0.055392,0.055423,0.17882,0.054412,-0.12649,-0.078334,0.25516,-0.076193,-0.12343,0.069304,0.29344,0.056591,-0.07385,0.027794,0.12613,0.1131,0.35955
3,-0.48735,-2.3604,1,-0.0021441,0.16886,0.049294,-0.20214,0.030426,-0.048736,-0.0601,0.36367,0.39277,0.43015,0.30058,0.31771,0.26917,0.52148,0.38326,0.38882,0.73647,0.61241,0.15123,0.575,0.48816,0.24866,0.24458,0.089787,0.17399,0.26362,0.30251,0.38829,0.33221,0.19629,0.32052,0.1229,0.2309,0.58909,0.80868,0.2456,0.21163,0.78653,0.25191,1.5258,0.79826,0.82356,0.1937,0.098813,-0.041287,0.023336,0.16454,-0.011173,-0.042343,-0.11056,-0.010083,-0.097508,0.023619,0.11681,0.0084942,-0.17592,-0.098357,0.30755,-0.078041,-0.12425,0.04052,0.39851,0.028276,-0.038546,-0.032275,0.1538,0.096139,0.22971
3.165,-0.47879,-2.3615,1,-0.065221,0.17076,0.052907,-0.20651,-0.021917,-0.059736,-0.068875,0.31004,0.49631,0.45539,0.27404,0.26719,0.23667,0.5169,0.38987,0.37099,0.66307,0.55778,0.13969,0.49423,0.41451,0.18958,0.22955,0.078168,0.15419,0.21619,0.28032,0.35679,0.31633,0.082162,0.32236,0.094503,0.18742,0.63222,0.76314,0.2386,0.18063,0.82417,0.25578,1.3443,0.56533,0.63602,0.1677,0.077646,-0.045358,0.0050319,0.17643,-0.00074222,-0.060567,-0.13879,-0.040524,-0.1173,0.014707,0.039163,-0.039929,-0.1965,-0.12081,0.25051,-0.057914,-0.095044,0.03919,0.38036,0.003693,0.0095897,-0.057598,0.16348,0.083872,0.20789
