Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57
25,-2.5725,0.2696,1,-0.08503,0.39998,-0.24567,0.73369,-0.19673,0.28249,0.041567,0.23236,-0.030476,-0.26902,0.24772,0.087528,0.02594,-0.135,0.037565,-0.088624,0.20073,-0.25916,-0.12128,-0.16328,0.29444,0.14132,-0.027577,0.11973,0.11973,0.069784,-0.11595,0.3168,0.9496,0.35942,1.3293,0.17446,0.41122,-0.26089,0.36014,-0.096752,0.17566,0.38791,-0.22183,0.099006,0.28659,-0.088089,0.057051,0.2432,0.21325,-0.25678,0.16863,0.77121,-0.11116,0.58479,0.24047,0.35574,0.056396,0.53019,-0.090585,-0.20517,1.67
25.165,-2.5653,0.26343,1,-0.086922,0.45857,-0.19154,0.73068,-0.11558,0.19013,0.061547,0.27745,0.024515,-0.27495,0.27205,0.20075,0.091124,-0.14872,0.047321,-0.061046,0.20597,-0.20142,-0.1024,-0.086424,0.40114,0.12612,0.090907,0.15997,0.15997,0.059152,-0.13881,0.13804,0.78457,0.34741,1.2673,0.19231,0.41248,-0.22903,0.40671,-0.036237,0.2146,0.40699,-0.27151,0.16863,0.29194,-0.051934,0.094639,0.26626,0.20957,-0.24418,0.16451,0.60923,-0.078693,0.69083,0.30113,0.31428,0.067097,0.53344,-0.07187,-0.24366,1.8691
25.33,-2.5631,0.25927,1,-0.057333,0.52485,-0.13546,0.71421,-0.087789,0.10568,0.083382,0.28708,0.056136,-0.27978,0.29813,0.28328,0.16127,-0.16152,0.039403,-0.056337,0.20134,-0.14368,-0.091032,-0.040523,0.47386,0.11093,0.16875,0.19823,0.19823,0.045843,-0.1856,0.14216,0.62392,0.42077,1.3632,0.18695,0.48463,-0.18001,0.47056,0.024153,0.20842,0.45861,-0.27692,0.23825,0.28443,-0.028998,0.10909,0.29303,0.19689,-0.22631,0.18881,0.6032,-0.14545,0.71174,0.36179,0.15587,0.094591,0.52882,-0.064723,-0.29539,1.7449
25.5,-2.5672,0.24068,1,-0.027313,0.58108,-0.084666,0.69775,-0.053012,0.065753,0.070581,0.25632,0.040381,-0.28537,0.35519,0.23699,0.18636,-0.16217,0.022346,-0.054359,0.17127,-0.12043,-0.090536,-0.031932,0.41674,0.084371,0.20205,0.18609,0.18609,0.023744,-0.23341,0.086713,0.44039,0.42445,1.3108,0.18685,0.48037,-0.13789,0.50995,0.077337,0.19723,0.51022,-0.28546,0.24198,0.27385,-0.050193,0.091477,0.31119,0.15539,-0.21637,0.1683,0.42958,-0.11467,0.65729,0.35738,0.022334,0.042508,0.49935,-0.064323,-0.33131,1.6584
25.667,-2.5719,0.23223,1,0.041695,0.57573,-0.084376,0.73353,-0.073659,0.053079,0.045629,0.21954,0.024627,-0.2425,0.41224,0.1907,0.15612,-0.15342,-0.010405,-0.072263,0.14108,-0.11988,-0.095277,-0.024313,0.32503,0.061562,0.21684,0.15669,0.15669,-0.001442,-0.25853,0.090833,0.26372,0.43393,1.2613,0.18316,0.45577,-0.095012,0.52278,0.070116,0.13374,0.50868,-0.25959,0.22516,0.24975,-0.074734,0.061059,0.3318,0.078736,-0.12074,0.14662,0.34443,-0.11636,0.56731,0.31124,0.067072,0.080268,0.46301,-0.065556,-0.25549,1.554
25.831,-2.5785,0.22274,1,0.1107,0.56937,-0.098104,0.7888,-0.11742,0.10934,0.05001,0.2034,0.084304,-0.24724,0.46604,0.10188,0.087796,-0.13174,-0.043155,-0.070285,0.10416,-0.1025,-0.10723,-0.014281,0.21963,0.05311,0.16365,0.12196,0.12196,-0.017992,-0.23909,0.10273,0.15695,0.41272,1.1006,0.19454,0.37734,-0.064993,0.51455,0.048434,0.099389,0.49568,-0.1152,0.19414,0.22319,-0.062053,0.033586,0.31586,0.038419,0.0015818,0.076733,0.26106,-0.11804,0.43566,0.19046,0.16267,0.077123,0.43774,-0.044589,-0.17966,1.8108
26.001,-2.5763,0.19583,1,0.23063,0.50028,-0.10771,0.84104,-0.21455,0.21887,0.054392,0.1588,0.12377,-0.19954,0.50687,-0.0085775,-0.018135,-0.095329,-0.052099,-0.048777,0.097233,-0.090885,-0.087413,-0.013053,0.098328,0.077028,0.13234,0.076363,0.076363,-0.0025113,-0.19124,0.15721,0.19457,0.36544,0.99233,0.20591,0.35274,-0.037733,0.48648,0.024448,0.040212,0.45682,0.029187,0.16184,0.19287,-0.057586,-0.0031597,0.30132,-0.0018982,0.12681,-0.020094,0.19128,-0.12184,0.32222,0.11061,0.26514,0.12776,0.43124,-0.023623,-0.11077,1.81
26.166,-2.5992,0.18135,1,0.34394,0.40036,-0.11927,0.89283,-0.24447,0.29311,0.02514,0.14968,0.083624,-0.14541,0.50739,-0.054475,-0.12407,-0.05554,-0.042467,-0.0044014,0.12223,-0.039475,-0.048743,0.019125,-0.023744,0.10647,0.1244,0.043035,0.043035,0.013018,-0.11724,0.1415,0.1754,0.25991,0.78401,0.22624,0.2665,-0.044109,0.49522,-0.0005119,-0.0081528,0.35337,0.085133,0.14857,0.17247,-0.042025,-0.021553,0.30114,-0.064252,0.22099,-0.11692,0.085158,-0.14701,0.29391,0.037652,0.4808,0.33969,0.43285,-0.019097,-0.052834,2.0737
26.332,-2.6046,0.16891,1,0.48165,0.30044,-0.15514,0.94461,-0.26002,0.36735,-0.0041118,0.185,0.084759,-0.07932,0.49695,0.038819,-0.14382,-0.027883,-0.025458,0.037896,0.16473,0.036454,0.0050865,0.057248,-0.02422,0.13465,0.09821,0.057899,0.057899,0.017514,-0.031241,0.16489,0.16308,0.15437,0.63291,0.26374,0.27494,-0.050484,0.53318,-0.0055421,-0.065908,0.2604,0.14421,0.19212,0.1637,-0.030645,-0.044236,0.28839,-0.13145,0.31782,-0.15862,-0.0090914,-0.17063,0.28986,0.018354,0.63939,0.58795,0.45942,-0.020136,-0.013495,2.2431
26.497,-2.6314,0.17656,1,0.5574,0.24191,-0.15439,0.94416,-0.25745,0.41851,-0.021211,0.22031,0.087833,-0.072891,0.48651,0.13211,-0.15584,-0.0013672,-0.010939,0.063818,0.19782,0.15809,0.063998,0.09537,-0.061471,0.15392,0.072016,0.081789,0.081789,0.018314,0.058445,0.10611,0.13451,0.061093,0.52719,0.30123,0.31093,-0.031463,0.58536,0.039441,-0.10481,0.19844,0.29041,0.23621,0.16691,-0.019265,-0.025884,0.27078,-0.1635,0.45971,-0.10916,-0.036099,-0.15235,0.28159,0.045992,0.60716,0.7902,0.48599,-0.041301,-0.031909,2.3582
26.667,-2.6529,0.19258,1,0.53019,0.17652,-0.12516,0.92663,-0.22139,0.41562,-0.0032879,0.21238,0.0118,-0.004564,0.4876,0.23391,-0.13031,0.012378,0.0017188,0.1014,0.2408,0.26241,0.11783,0.16855,-0.098447,0.15569,0.09487,0.10716,0.10716,0.0077246,0.10358,0.040497,0.13087,0.0024645,0.48919,0.34583,0.36869,-0.021788,0.64421,0.087107,-0.14372,0.14779,0.31809,0.29158,0.18742,-0.0066499,-0.048566,0.26306,-0.20865,0.57491,-0.035805,-0.037642,-0.11617,0.25242,0.073629,0.50717,0.83843,0.50225,-0.085429,-0.050323,2.1361
26.832,-2.6673,0.21675,1,0.45206,0.057964,-0.11801,0.88725,-0.19176,0.38836,-0.0093494,0.20444,-0.064233,-0.038603,0.50006,0.24542,-0.085313,0.01138,-0.0036357,0.092706,0.25912,0.32089,0.12645,0.21598,-0.13919,0.14824,0.22388,0.11904,0.11904,-0.012795,0.099113,-0.046072,0.14514,-0.049311,0.45608,0.34146,0.40468,-0.012113,0.69105,0.11131,-0.10548,0.077837,0.3404,0.28599,0.21746,0.0030855,-0.058383,0.23048,-0.23491,0.67982,0.097771,-0.05112,-0.075358,0.20506,0.12309,0.39634,0.83099,0.49699,-0.12888,-0.03743,1.8636
26.998,-2.6542,0.23447,1,0.39238,-0.037465,-0.078413,0.82857,-0.17693,0.38846,0.027731,0.20166,-0.021431,-0.03914,0.55282,0.21512,-0.034037,0.010382,0.017253,0.084013,0.2342,0.32842,0.099763,0.2593,-0.17916,0.12448,0.3529,0.10841,0.10841,-0.030876,0.091389,-0.10185,0.21183,-0.059476,0.44769,0.33709,0.385,0.010646,0.64224,0.12939,-0.053227,0.04427,0.41938,0.25818,0.24492,-0.015663,-0.097186,0.17249,-0.25801,0.79603,0.1741,0.029042,-0.0033567,0.17148,0.19041,0.27933,0.62189,0.47435,-0.1437,-0.019114,1.6011
27.163,-2.6297,0.26595,1,0.30786,-0.12763,-0.00035424,0.72916,-0.20116,0.35254,0.049814,0.17818,0.032136,-0.095207,0.58557,0.17444,-0.015098,0.0034706,0.038142,0.071496,0.14317,0.33584,0.067379,0.29298,-0.22964,0.087205,0.46538,0.095702,0.095702,-0.036532,0.057639,-0.16864,0.22591,-0.088851,0.48635,0.2929,0.28206,0.028217,0.53169,0.0928,-0.03805,0.012381,0.49189,0.22226,0.23696,0.013903,-0.089005,0.10432,-0.27753,0.89659,0.21355,0.076441,0.068644,0.15246,0.23068,0.15843,0.39882,0.4227,-0.15165,0.058594,1.348
27.334,-2.6369,0.31144,1,0.1724,-0.21211,0.077705,0.62975,-0.21895,0.32343,0.071898,0.15774,0.083765,-0.095744,0.6639,0.13377,0.0038421,-0.0023005,0.056148,0.08188,0.061564,0.29755,0.027908,0.32301,-0.24335,0.053078,0.50521,0.090563,0.090563,-0.033403,0.020204,-0.19304,0.24938,-0.094146,0.56606,0.24872,0.17066,0.011384,0.42114,0.055889,-0.018461,0.016552,0.47415,0.18634,0.20113,0.095441,-0.11102,0.037811,-0.29705,0.82564,0.16637,0.1478,0.099757,0.17955,0.27356,0.051322,0.17517,0.37105,-0.1562,0.16639,1.1494
27.499,-2.6386,0.33973,1,0.1399,-0.28359,0.12136,0.59388,-0.22173,0.30597,0.058958,0.16149,0.12866,-0.088779,0.7307,0.074713,0.014564,0.022987,0.070975,0.078104,0.01728,0.26423,-0.0044766,0.30794,-0.24557,0.033856,0.47674,0.074913,0.074913,-0.019461,-0.016537,-0.18515,0.32549,-0.10339,0.5999,0.22355,0.05632,-0.0054486,0.29808,0.016296,0.0011277,0.020877,0.53074,0.16507,0.15422,0.11893,-0.094425,-0.006874,-0.27436,0.75468,0.11919,0.20455,0.1227,0.24131,0.27639,-0.024452,0.096117,0.33244,-0.16006,0.29102,1.0409
27.664,-2.6542,0.35481,1,0.1485,-0.25985,0.13552,0.60069,-0.18296,0.28594,0.045253,0.16525,0.13821,-0.011248,0.70954,0.08857,0.026368,0.048275,0.085803,0.094539,0.055772,0.25793,-0.006396,0.28931,-0.20197,0.055581,0.32023,0.068498,0.068498,0.0053936,0.025104,-0.15049,0.40237,-0.078021,0.55907,0.28477,-0.0021558,0.014154,0.21028,0.010443,-0.025498,0.043232,0.5927,0.19893,0.13122,0.13262,-0.08827,-0.0047438,-0.22999,0.69401,0.055129,0.25964,0.15123,0.31088,0.21942,-0.062196,0.059336,0.36421,-0.13465,0.37269,1.0634
27.829,-2.6538,0.37191,1,0.19743,-0.22886,0.090758,0.63278,-0.14324,0.26591,0.092817,0.16385,0.076525,0.09206,0.65853,0.079674,0.031891,0.079565,0.075462,0.12837,0.10651,0.26149,0.022555,0.27125,-0.15599,0.088998,0.18831,0.026408,0.026408,0.027809,0.072514,-0.090401,0.47925,-0.071859,0.49354,0.30857,0.038203,0.037152,0.24952,0.040832,-0.052124,0.049873,0.60665,0.21742,0.13107,0.16415,-0.095101,0.016665,-0.16673,0.61477,0.048316,0.2481,0.17008,0.37451,0.13772,-0.079279,0.029828,0.41313,-0.11459,0.4029,1.2125
28.001,-2.6587,0.40312,1,0.24637,-0.19522,0.015717,0.70633,-0.1056,0.28191,0.11812,0.14965,0.0040747,0.23969,0.60752,0.070778,-0.0026763,0.10546,0.067096,0.17558,0.21395,0.25304,0.059148,0.2534,-0.099288,0.13594,0.16331,0.0045988,0.0045988,0.041762,0.13513,-0.018616,0.57398,-0.024572,0.42722,0.37461,0.14006,0.045231,0.32847,0.11049,-0.05949,0.040107,0.62708,0.23082,0.16173,0.14452,-0.12121,0.048251,-0.14859,0.55117,0.063305,0.25465,0.18893,0.42232,0.13295,-0.020929,0.017697,0.45508,-0.10136,0.34731,1.4086
28.167,-2.6693,0.41089,1,0.34488,-0.15859,-0.059324,0.80021,-0.076253,0.29617,0.14342,0.16233,-0.057121,0.27173,0.51092,0.070557,-0.037244,0.1336,0.067984,0.22279,0.28755,0.24458,0.10227,0.22071,-0.077102,0.17607,0.21299,-0.024782,-0.024782,0.032429,0.19194,0.038958,0.55388,-0.035661,0.35062,0.39699,0.2273,0.0072881,0.4028,0.17304,-0.06085,0.011999,0.58184,0.24422,0.21546,0.072922,-0.15574,0.067712,-0.13045,0.57301,0.043904,0.24911,0.21666,0.45175,0.11891,0.042193,0.0055652,0.49703,-0.078026,0.24429,1.6475
28.33,-2.708,0.42199,1,0.44339,-0.11853,-0.12721,0.84762,-0.068342,0.30265,0.16872,0.17943,-0.086522,0.28507,0.44415,0.069661,-0.062885,0.13055,0.075882,0.26598,0.31861,0.26551,0.13945,0.19163,-0.068126,0.20303,0.2691,-0.054164,-0.054164,0.018697,0.24164,0.04596,0.48044,-0.011803,0.34816,0.42184,0.29729,0.0081744,0.48963,0.21983,-0.072308,-0.011366,0.47345,0.2418,0.26132,0.0015107,-0.19812,0.083162,-0.13534,0.62483,0.024503,0.23438,0.23465,0.47295,0.13819,0.09299,0.016254,0.52528,-0.054694,0.12444,2.005
28.5,-2.731,0.43254,1,0.4495,-0.063498,-0.13803,0.87262,-0.095548,0.30648,0.21283,0.19653,-0.053091,0.25687,0.44412,0.081569,-0.065956,0.12749,0.083779,0.26727,0.25881,0.28644,0.13991,0.17777,-0.1106,0.18301,0.31459,-0.069187,-0.069187,-0.0059468,0.23348,0.00076329,0.38832,-0.003355,0.45339,0.37764,0.33159,-0.031799,0.55224,0.23031,-0.10459,-0.022869,0.36506,0.22935,0.27373,-0.048139,-0.23265,0.067036,-0.17217,0.67665,-0.011297,0.1607,0.21124,0.48693,0.18555,0.1166,0.074611,0.48952,-0.063438,0.02849,2.2821
28.665,-2.7497,0.42405,1,0.39682,-0.015708,-0.090117,0.87749,-0.12683,0.31031,0.16963,0.18361,0.026922,0.13207,0.49681,0.12899,-0.069027,0.12449,0.089328,0.21665,0.1992,0.25685,0.11659,0.16856,-0.15815,0.16182,0.32506,-0.038303,-0.038303,-0.030591,0.20951,-0.059834,0.2962,0.036152,0.63623,0.37085,0.31169,-0.067348,0.47387,0.20421,-0.13167,-0.0041037,0.37769,0.23547,0.26461,-0.016377,-0.23095,0.025767,-0.21763,0.73751,0.022839,0.087013,0.18157,0.49366,0.22542,0.13303,0.1257,0.45126,-0.07902,0.0071324,2.4722
28.831,-2.7739,0.40396,1,0.32331,0.015094,-0.018361,0.82878,-0.12713,0.31052,0.11961,0.17588,0.10693,0.0028349,0.48466,0.1764,-0.059073,0.099039,0.092902,0.15435,0.11757,0.2394,0.08812,0.16283,-0.203,0.14063,0.30603,-0.015486,-0.015486,-0.05108,0.15073,-0.12043,0.21,0.33091,0.81562,0.29768,0.38519,-0.073467,0.39264,0.16929,-0.12587,0.018903,0.39031,0.25466,0.25549,0.073348,-0.22044,-0.015501,-0.21387,0.79832,0.035173,0.059182,0.15189,0.501,0.2131,0.10597,0.15271,0.42331,-0.096918,0.014969,2.6523
28.996,-2.7924,0.40347,1,0.23145,0.037217,0.045691,0.75975,-0.11915,0.30762,0.06958,0.13824,0.16072,-0.055132,0.41653,0.16905,-0.049119,0.051385,0.092253,0.092059,0.069772,0.23301,0.057926,0.20854,-0.21643,0.13015,0.27473,0.0073315,0.0073315,-0.061041,0.089392,-0.15279,0.2355,0.67408,0.85157,0.26816,0.34182,-0.012901,0.31603,0.13326,-0.12066,0.033629,0.40101,0.29283,0.23813,0.16307,-0.20765,-0.048284,-0.21154,0.79354,0.091864,0.048335,0.09271,0.50834,0.22504,0.053884,0.17972,0.38359,-0.1082,0.062806,2.7782
29.166,-2.8242,0.4178,1,0.13313,0.057427,0.10626,0.69077,-0.11117,0.29207,0.018792,0.10481,0.18781,-0.05859,0.31858,0.16082,-0.034198,0.0037317,0.080923,0.014979,0.040408,0.21194,0.029457,0.2723,-0.22269,0.12308,0.22294,0.04226,0.04226,-0.063908,0.04284,-0.18516,0.20355,0.6298,0.78189,0.20069,0.31208,0.019951,0.23392,0.11299,-0.11809,0.043612,0.39541,0.32035,0.21399,0.17281,-0.18909,-0.0884,-0.21386,0.75879,0.13137,0.059593,0.044883,0.50939,0.24371,0.0017977,0.18609,0.34579,-0.11783,0.10103,2.7113
29.333,-2.8365,0.41637,1,0.066477,0.055998,0.12117,0.62337,-0.11305,0.2733,-0.018703,0.097637,0.1874,-0.028688,0.25421,0.14936,-0.041849,-0.051178,0.066625,-0.020537,0.044941,0.19086,-0.00037294,0.3244,-0.22577,0.12061,0.17438,0.066861,0.066861,-0.064638,0.00074194,-0.15944,0.17159,0.58552,0.66007,0.16995,0.24779,0.071924,0.12268,0.083989,-0.12561,0.049937,0.38981,0.33933,0.18985,0.17058,-0.17599,-0.11116,-0.22624,0.67684,0.17079,0.12981,0.026986,0.50847,0.26721,-0.0087656,0.14362,0.30597,-0.12533,0.1103,2.526
29.497,-2.8529,0.42933,1,0.0061553,0.046999,0.10382,0.57058,-0.11085,0.25336,-0.052839,0.12049,0.16873,0.021381,0.16696,0.10239,-0.049641,-0.1044,0.052698,-0.021525,0.058208,0.2146,-0.0022849,0.35863,-0.21741,0.1184,0.12368,0.10077,0.10077,-0.065368,-0.021367,-0.16617,0.12818,0.51019,0.47486,0.13468,0.21805,0.11967,0.08422,0.069856,-0.13242,0.041709,0.31512,0.35584,0.17265,0.10751,-0.17203,-0.1189,-0.22943,0.60224,0.096076,0.18485,0.018713,0.50557,0.3276,-0.014291,0.10115,0.27068,-0.1211,0.087429,2.3497
29.667,-2.8857,0.43286,1,-0.039664,0.039551,0.078771,0.57174,-0.1207,0.23251,-0.032378,0.12686,0.14728,0.090203,0.15903,0.061242,-0.046198,-0.11998,0.038771,0.020002,0.099243,0.23163,-0.0087511,0.37159,-0.21175,0.12201,0.072966,0.13225,0.13225,-0.073164,-0.0059634,-0.14261,0.16863,0.15856,0.27543,0.14548,0.11337,0.1581,0.10917,0.059654,-0.11738,0.016792,0.3162,0.37478,0.16971,0.037616,-0.15697,-0.12615,-0.23029,0.4842,0.021358,0.1732,0.013328,0.50066,0.38798,0.0069823,0.099675,0.27166,-0.058561,0.068143,2.2554
29.827,-2.9145,0.43618,1,-0.059439,0.032104,0.058697,0.57538,-0.1132,0.22105,0.02623,0.13322,0.1408,0.14178,0.12025,0.065617,-0.042756,-0.084815,0.05655,0.061529,0.14161,0.22565,-0.0095282,0.34967,-0.16301,0.12606,0.032499,0.16515,0.16515,-0.074262,0.024678,-0.13306,0.18325,-0.16338,0.20619,0.17541,0.16597,0.18411,0.17153,0.089662,-0.10166,0.0048991,0.34292,0.32964,0.18104,-0.017454,-0.14191,-0.094219,-0.22181,0.37158,0.013979,0.11796,0.028006,0.49433,0.38263,0.035736,0.098199,0.30119,0.019196,0.055272,2.2117
29.993,-2.9325,0.4326,1,-0.046928,0.051617,0.040899,0.57896,-0.12801,0.22971,0.13373,0.14328,0.12145,0.15078,0.17025,0.070871,-0.044988,-0.059557,0.083038,0.10826,0.19997,0.1895,0.022295,0.26586,-0.1096,0.1478,0.021386,0.19754,0.19754,-0.067669,0.070166,-0.054206,0.31793,-0.081461,0.20947,0.21245,0.21244,0.19216,0.24399,0.11811,-0.073199,-0.00095618,0.37477,0.28449,0.20355,-0.013141,-0.1362,-0.042564,-0.21174,0.26467,0.023788,0.05029,0.040345,0.48764,0.37729,0.06449,0.1136,0.35502,0.12515,0.052009,2.2045
30.163,-2.9624,0.44114,1,0.031179,0.073332,0.025578,0.5764,-0.11533,0.2399,0.23386,0.12707,0.090668,0.13168,0.19681,0.059196,-0.051592,-0.027042,0.099437,0.13051,0.23941,0.12932,0.068732,0.18206,-0.060856,0.17566,0.064637,0.22965,0.22965,-0.054584,0.11186,0.012962,0.33256,0.00045658,0.22698,0.24438,0.29517,0.1206,0.36844,0.15527,-0.052546,0.0068858,0.40038,0.21296,0.20872,-0.01166,-0.14131,0.0064958,-0.20025,0.20998,0.028846,-0.015121,0.20088,0.48232,0.37194,0.051785,0.12343,0.41086,0.23111,0.052596,2.2744
30.333,-2.9988,0.45259,1,0.14943,0.10463,0.010843,0.57384,-0.12114,0.2436,0.32447,0.095457,0.063583,0.14068,0.24032,0.04752,-0.071437,-0.0022718,0.10339,0.15276,0.2573,0.076139,0.10306,0.12677,-0.025532,0.19899,0.13513,0.25313,0.25313,-0.046937,0.13962,0.080083,0.41486,0.026693,0.2525,0.28728,0.37272,0.048006,0.49289,0.17911,-0.051096,0.018622,0.42795,0.14389,0.19345,-0.034775,-0.17562,0.060537,-0.20526,0.1817,0.071458,-0.018226,0.35807,0.44652,0.34659,0.036888,0.13327,0.44175,0.30988,0.03372,2.2808
30.498,-3.0305,0.43769,1,0.31656,0.14531,-0.0038913,0.57799,-0.10846,0.25182,0.32084,0.087953,0.10077,0.14142,0.28813,0.0304,-0.089192,0.061333,0.10734,0.12687,0.26944,0.052952,0.14475,0.092746,-0.020388,0.20714,0.26062,0.20774,0.20774,-0.027886,0.16468,0.08977,0.34031,0.048053,0.29223,0.30484,0.40773,-0.024585,0.55678,0.20356,-0.072177,0.056604,0.37976,0.076839,0.1536,-0.05789,-0.22121,0.11409,-0.21027,0.21745,0.080706,0.067296,0.3968,0.39916,0.31922,0.019663,0.18575,0.4619,0.28962,0.010256,2.2152
30.665,-3.0611,0.42994,1,0.47736,0.2338,-0.00048288,0.57967,-0.11158,0.25981,0.3493,0.072798,0.13796,0.1696,0.42277,0.016704,-0.096231,0.09414,0.077547,0.10013,0.27654,0.043523,0.1831,0.060673,-0.05839,0.21043,0.39366,0.17518,0.17518,-0.010305,0.16641,0.072443,0.39352,0.035814,0.34649,0.31028,0.44102,-0.083833,0.60232,0.19635,-0.090053,0.094586,0.41014,0.0738,0.11029,-0.079632,-0.27178,0.12451,-0.22321,0.39043,0.01953,0.18018,0.39522,0.35128,0.32659,0.015206,0.23823,0.46526,0.23466,-0.013998,2.182
30.83,-3.0846,0.41848,1,0.46969,0.29491,0.016108,0.57659,-0.078584,0.26571,0.27955,0.04974,0.15557,0.17566,0.42096,0.023327,-0.10327,0.10263,0.05111,0.069276,0.25127,0.044583,0.18713,0.077402,-0.1206,0.19653,0.51784,0.13101,0.13101,-0.015316,0.14194,-0.014196,0.32668,-0.031624,0.40075,0.29591,0.42937,-0.11898,0.64117,0.21637,-0.10793,0.064487,0.38455,0.087664,0.10422,-0.072384,-0.29822,0.11817,-0.23425,0.55772,-0.041645,0.29581,0.37285,0.30451,0.28987,0.029494,0.36675,0.43757,0.13312,-0.031634,2.2243
31,-3.1113,0.40691,1,0.41607,0.3659,0.042525,0.56255,-0.063232,0.27309,0.2098,0.026683,0.1707,0.20689,0.40902,0.046879,-0.1002,0.086803,0.034377,0.036973,0.20607,0.057498,0.15478,0.094131,-0.17269,0.18235,0.55944,0.086851,0.086851,-0.032992,0.11218,-0.10083,0.37989,-0.11568,0.42685,0.24374,0.38471,-0.07242,0.65812,0.2364,-0.13497,0.015896,0.38693,0.17409,0.13781,-0.062302,-0.31397,0.085193,-0.2453,0.69533,-0.074274,0.46361,0.20563,0.25617,0.25316,0.094051,0.46078,0.40344,0.031575,-0.031469,2.308
31.166,-3.1433,0.39356,1,0.3832,0.4228,0.068356,0.52634,-0.033469,0.28665,0.11165,0.020507,0.19527,0.21716,0.38831,0.075147,-0.085257,0.070974,0.028006,-0.003355,0.18015,0.070413,0.11797,0.091288,-0.20767,0.17362,0.51898,0.03963,0.03963,-0.056331,0.087435,-0.17191,0.31834,-0.15601,0.43073,0.17536,0.31598,-0.0023457,0.67243,0.2471,-0.14873,-0.049571,0.34665,0.23525,0.1882,-0.089893,-0.2906,0.044254,-0.23937,0.82847,-0.10025,0.58428,0.038412,0.1711,0.22786,0.10827,0.55481,0.38653,-0.052625,-0.010364,2.4551
31.331,-3.1495,0.38923,1,0.30777,0.45579,0.036819,0.48231,-0.022203,0.28436,0.085418,0.014332,0.14513,0.22496,0.37768,0.13794,-0.070316,0.00022622,0.021634,-0.035953,0.15423,0.087089,0.082817,0.088444,-0.1941,0.17332,0.38117,0.051502,0.051502,-0.083398,0.039107,-0.21584,0.34352,-0.18038,0.40102,0.1278,0.27217,0.067729,0.63569,0.24058,-0.15563,-0.12196,0.34903,0.29196,0.2489,-0.11748,-0.26723,0.0033142,-0.22787,0.96463,-0.093836,0.47083,-0.011983,0.098994,0.20556,0.1107,0.53691,0.36962,-0.070849,0.013853,2.639
31.496,-3.1496,0.40104,1,0.20904,0.44097,-0.011492,0.47769,-0.01249,0.27777,-0.021875,0.015808,0.084267,0.21898,0.36704,0.19788,-0.066092,-0.057298,0.028097,-0.027068,0.1364,0.11895,0.046853,0.11413,-0.17071,0.1734,0.23582,0.04912,0.04912,-0.10674,0.041939,-0.23409,0.2183,-0.1985,0.40147,0.11332,0.22338,0.11231,0.5668,0.24365,-0.15135,-0.19435,0.29772,0.32976,0.32151,-0.14601,-0.24268,-0.013245,-0.22194,0.97195,-0.07274,0.3505,-0.015297,0.12168,0.18325,0.11314,0.46506,0.34971,-0.067135,0.034958,2.7515
31.666,-3.1392,0.40139,1,0.25296,0.39735,-0.072987,0.49842,-0.023358,0.26923,-0.079091,0.028529,0.034519,0.25416,0.41709,0.25706,-0.061799,-0.062604,0.032259,-0.0014709,0.13197,0.15082,0.02183,0.13486,-0.12196,0.17296,0.090457,0.013915,0.013915,-0.11799,0.058405,-0.24468,0.14467,-0.19295,0.33974,0.12326,0.2287,0.13156,0.50001,0.22104,-0.14708,-0.19603,0.34858,0.35456,0.34876,-0.17649,-0.24118,-0.016406,-0.2255,0.97926,-0.049998,0.2297,-0.0068297,0.14551,0.17754,0.067733,0.32094,0.33853,-0.046764,0.066411,2.7857
31.832,-3.1224,0.39605,1,0.30223,0.3213,-0.094351,0.55928,-0.034225,0.2627,-0.11004,0.049564,-0.0013068,0.24374,0.46713,0.31546,-0.063246,-0.038825,0.046798,0.049289,0.17244,0.1826,0.05468,0.13651,-0.082894,0.17565,-0.024582,-0.021291,-0.021291,-0.11401,0.087133,-0.25526,0.10142,-0.13118,0.41593,0.1571,0.26895,0.13403,0.44732,0.20407,-0.12584,-0.16861,0.38624,0.33834,0.35369,-0.20696,-0.23159,0.0072575,-0.22907,0.93232,-0.045346,0.083888,0.0069002,0.16976,0.16945,0.005843,0.21804,0.33702,-0.026392,0.082791,2.8124
