Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57
1.666,-2.4826,0.34835,-1,0.020019,1.8917,0.68139,0.39651,0.0306,0.18286,0.2115,0.59931,0.41615,0.095838,0.0097954,-0.084415,0.17505,-0.063126,0.049333,0.11711,0.26253,0.91472,-0.15342,0.43478,0.15049,-0.32291,0.82912,0.19059,0.19059,0.13031,0.016922,0.10456,0.98012,0.28776,1.1271,0.2006,0.14115,0.52991,0.71603,0.92112,0.0095528,0.36508,1.1653,0.28503,0.84238,1.023,0.66888,0.36082,0.36162,0.16532,0.12588,0.66906,0.031546,0.080102,0.80945,0.13091,0.071278,0.60397,-0.20451,1.4748,2.4391
1.831,-2.4781,0.30621,-1,-0.075812,2.049,0.65573,0.34198,0.086574,0.18323,0.1619,0.64669,0.48977,0.16261,-0.057924,0.029177,0.1207,-0.030427,0.027061,0.16502,0.084145,0.87177,-0.13904,0.4768,0.18221,-0.35081,0.85095,0.18001,0.18001,0.089731,0.10612,0.17064,0.82694,0.36732,1.3237,0.135,-0.019904,0.51079,0.51483,0.72536,0.034182,0.42135,1.2895,0.15609,0.73284,1.2243,0.77622,0.27681,0.51251,0.096497,0.20042,0.57754,0.0040019,0.090326,1.0002,-0.040164,0.036552,0.75094,-0.21465,1.5178,2.0905
2.001,-2.481,0.24417,-1,-0.072536,1.9783,0.61327,0.27617,0.14255,0.1858,0.080873,0.68506,0.52575,0.2022,-0.073221,0.1464,0.080773,0.018758,0.020377,0.22348,-0.033018,0.81396,-0.092614,0.47442,0.20671,-0.35518,0.83104,0.18495,0.18495,0.060735,0.18728,0.22341,0.65108,0.39248,1.4809,0.076499,-0.049753,0.4402,0.5284,0.5487,0.089421,0.46377,1.3465,0.04547,0.6078,1.3704,0.7922,0.19849,0.64916,0.027942,0.32452,0.53596,0.00814,0.038161,1.1222,-0.06561,0.0094529,0.76726,-0.21909,1.4612,1.503
2.166,-2.4987,0.21213,2,-0.0812,1.7489,0.57081,0.1948,0.20454,0.23575,0.028809,0.68681,0.53157,0.23609,-0.033611,0.25538,0.087139,0.089556,0.012938,0.31294,-0.0082533,0.74628,-0.046191,0.49507,0.2406,-0.33264,0.7357,0.1988,0.1988,0.031154,0.26657,0.25334,0.51031,0.39484,1.6356,0.0068225,-0.070607,0.42775,0.58538,0.41818,0.18563,0.44513,1.3403,0.0364,0.50915,1.4438,0.73689,0.17198,0.82757,0.01384,0.41447,0.46295,0.098372,-0.02086,1.2585,-0.12068,-0.0097722,0.7485,-0.2207,1.5053,0.94195
2.331,-2.5214,0.19172,2,-0.089865,1.5081,0.56185,0.12191,0.255,0.33397,-0.039854,0.65534,0.52843,0.27485,-0.030794,0.21071,0.12937,0.1121,0.0075913,0.40241,0.075729,0.69741,-0.015319,0.52754,0.28446,-0.30967,0.70034,0.20038,0.20038,0.030844,0.27356,0.31543,0.33893,0.37845,1.6795,-0.045677,-0.0066868,0.43343,0.70555,0.36112,0.30572,0.42414,1.3924,0.096321,0.46903,1.4593,0.65857,0.17646,0.97905,0.059249,0.38918,0.47855,0.1886,-0.065206,1.334,-0.18641,0.016296,0.69664,-0.22257,1.5647,0.94544
2.497,-2.5356,0.15316,2,-0.084837,1.3806,0.54261,0.069966,0.27889,0.4322,-0.037881,0.614,0.51619,0.27202,-0.023421,0.088857,0.16598,0.13464,0.0049659,0.41433,0.15387,0.71875,-0.035783,0.55966,0.33724,-0.29027,0.58628,0.19904,0.19904,0.018024,0.20938,0.37751,0.089684,0.27133,1.6049,-0.043624,0.17655,0.42083,0.83453,0.33219,0.46657,0.38759,1.4366,0.19984,0.54679,1.3694,0.51466,0.16751,0.93803,0.12911,0.36388,0.4238,0.22807,-0.10217,1.3709,-0.25214,-0.0019719,0.56104,-0.23104,1.6527,0.99488
2.663,-2.5552,0.119,2,-0.07981,1.3113,0.54315,0.070549,0.25636,0.55461,-0.044933,0.57091,0.50395,0.31095,-0.040649,-0.11374,0.19162,0.13068,0.0031335,0.36616,0.24549,0.94484,-0.062158,0.58405,0.3761,-0.28675,0.60753,0.18271,0.18271,0.056329,0.12789,0.4527,-0.083578,0.19656,1.4572,0.019049,0.69666,0.40408,0.9635,0.334,0.60191,0.35516,1.3148,0.34555,0.65781,1.2932,0.35926,0.15763,0.84812,0.19924,0.33083,0.53294,0.24914,-0.021853,1.3572,-0.31006,-0.0086372,0.38854,-0.23659,1.7492,1.0518
2.832,-2.5688,0.081135,2,-0.096514,1.4783,0.58267,0.12871,0.26514,0.59966,-0.015512,0.58928,0.48185,0.36527,-0.050261,-0.29833,0.20555,0.12673,0.015156,0.30693,0.33494,1.192,-0.089644,0.61599,0.34547,-0.26338,0.66414,0.15086,0.15086,0.10599,0.09635,0.49852,-0.24711,0.20648,1.2779,0.11617,1.2229,0.38164,0.98197,0.36023,0.63591,0.32005,1.1927,0.50779,0.80164,1.1796,0.2501,0.14327,0.74758,0.34922,0.26373,0.55016,0.26253,0.060453,1.3855,-0.36049,-0.015976,0.25419,-0.24214,1.8378,1.1863
2.998,-2.5848,0.038527,2,-0.10098,1.791,0.62218,0.24517,0.36753,0.54443,-0.015763,0.64518,0.46026,0.40743,-0.079381,-0.3801,0.2042,0.12048,0.0091801,0.24559,0.43417,1.4403,-0.06432,0.62491,0.24439,-0.23015,0.75415,0.10673,0.10673,0.18617,0.1002,0.51193,-0.38631,0.53113,1.1012,0.21146,1.4778,0.3592,0.9748,0.35467,0.59959,0.28796,1.0535,0.63516,0.94547,1.0689,0.16263,0.16107,0.62569,0.53996,0.14434,0.62213,0.20376,0.14762,1.5095,-0.3813,-0.0069096,0.1588,-0.23701,1.5988,1.3108
3.163,-2.5945,0.01977,2,-0.081801,2.0356,0.62072,0.37621,0.48146,0.46828,-0.039355,0.75433,0.38352,0.33137,-0.07171,-0.30939,0.12435,0.12584,0.0024499,0.14559,0.47418,1.6393,-0.03835,0.59306,0.13333,-0.18965,0.66852,0.056631,0.056631,0.26577,0.13536,0.44224,-0.24246,0.86811,1.0044,0.30674,1.6036,0.30108,0.90884,0.31916,0.47652,0.30727,0.78425,0.60805,1.0037,0.95829,0.062602,0.1883,0.52204,0.69885,0.12624,0.63346,0.14045,0.19589,1.6472,-0.38655,0.0021567,0.10143,-0.23163,1.2731,1.4825
3.333,-2.6124,0.0043508,2,-0.077799,1.9934,0.54975,0.50149,0.54013,0.51537,-0.069062,0.89161,0.28003,0.2536,-0.097777,-0.18856,0.043002,0.13121,-0.0070019,0.079419,0.48808,1.6792,0.012565,0.49607,0.029032,-0.15814,0.63501,0.023386,0.023386,0.3099,0.17714,0.33109,-0.020759,1.0364,1.0365,0.33823,1.6141,0.22855,0.81865,0.32443,0.29654,0.34356,0.44356,0.55596,0.96146,0.85671,0.035491,0.2321,0.48683,0.65794,0.1483,0.65982,0.087409,0.23744,1.7849,-0.25482,-0.0084927,0.074043,-0.22593,0.94051,1.7352
3.499,-2.6112,-0.025234,2,-0.069694,1.8684,0.47878,0.57942,0.59127,0.51595,-0.084702,1.0106,0.17654,0.16203,-0.13823,-0.057082,-0.026635,0.1651,-0.019535,0.048227,0.47952,1.4094,0.0082844,0.33943,-0.068742,-0.12953,0.49277,0.0051366,0.0051366,0.28826,0.21585,0.22785,0.15299,1.0797,1.1838,0.32279,1.2689,0.12995,0.70898,0.34481,0.15844,0.41686,0.28152,0.47856,0.86011,0.73722,0.032203,0.28964,0.50924,0.57545,0.13619,0.63655,0.038329,0.26178,1.9239,-0.049055,-0.014027,0.081388,-0.21306,0.59523,2.0213
3.664,-2.5837,-0.045532,2,-0.021836,1.5749,0.34513,0.6164,0.61265,0.49802,-0.049393,1.0776,0.099845,0.070471,-0.21835,0.031745,-0.054649,0.18827,-0.026425,0.02678,0.46974,1.1308,-0.028449,0.15441,-0.10081,-0.14536,0.39188,-0.0071762,-0.0071762,0.25053,0.1582,0.15736,0.33969,1.1227,1.402,0.28524,0.9121,-0.00017638,0.65666,0.36553,0.11719,0.52581,0.098299,0.38462,0.74963,0.62874,0.099013,0.36504,0.56364,0.39902,0.12407,0.69785,0.0057466,0.35164,2.1267,0.16068,-0.044155,0.088732,-0.1969,0.27462,2.2249
3.834,-2.5573,-0.042212,2,0.062594,1.2814,0.1909,0.68794,0.5276,0.53301,0.015588,1.0902,0.028872,-0.0090203,-0.26908,0.021766,-0.06739,0.17496,-0.018725,-0.0044122,0.44087,0.84903,-0.11993,-0.010807,-0.066597,-0.18355,0.26798,-0.010769,-0.010769,0.18556,0.061219,0.11514,0.54215,0.8738,1.6434,0.2516,0.83673,-0.1303,0.61207,0.41805,0.16635,0.63476,-0.049726,0.31723,0.66728,0.5421,0.15624,0.41996,0.61804,0.16372,0.18255,0.81284,-0.024622,0.43026,2.2224,0.37109,-0.090687,0.096604,-0.17957,0.19372,2.4122
4,-2.5432,-0.025053,2,0.12447,1.0819,0.077661,0.71247,0.38599,0.57363,0.03527,1.1045,0.0013804,0.015123,-0.30655,-0.057343,-0.039621,0.13209,-0.011024,-0.007216,0.41713,0.61662,-0.2114,-0.135,-0.032383,-0.2165,0.28632,0.0038881,0.0038881,0.14801,-0.066396,0.072923,0.49217,0.60464,1.8201,0.21796,0.80573,-0.18736,0.60031,0.45405,0.25603,0.68067,-0.15898,0.34692,0.63772,0.45546,0.22285,0.46544,0.66943,-0.096098,0.24102,0.87414,-0.018027,0.54779,2.3155,0.56738,-0.0088615,0.098847,-0.16224,0.19753,2.4585
4.164,-2.5179,-0.0030431,2,0.17081,1.0256,0.01837,0.74276,0.23957,0.52209,0.051443,1.0768,-0.0080965,0.040335,-0.26725,-0.12093,-0.010361,0.017433,-0.024008,-0.030249,0.41939,0.49967,-0.28465,-0.18435,0.00045238,-0.21429,0.28309,0.0048913,0.0048913,0.12528,-0.14767,0.05142,0.38411,0.54496,1.9949,0.21303,0.81638,-0.20283,0.59892,0.44925,0.34572,0.7054,-0.21703,0.38556,0.61178,0.43863,0.22721,0.5087,0.68784,-0.17602,0.22623,1.1225,0.055162,0.56381,2.3839,0.62737,0.10002,0.10344,-0.15756,0.17503,2.3794
4.33,-2.4734,0.018226,2,0.21766,1.0242,-0.040921,0.77304,0.10067,0.50268,0.049965,1.0672,-0.042537,0.036514,-0.1979,-0.19517,0.017567,-0.089088,-0.038368,-0.044856,0.45762,0.58813,-0.29519,-0.17161,0.029679,-0.20554,0.27458,-0.012868,-0.012868,0.13117,-0.20935,0.0084859,0.31309,0.51526,2.0011,0.2081,0.91296,-0.21211,0.6728,0.52921,0.29026,0.6187,-0.27372,0.43329,0.63603,0.44828,0.26725,0.5262,0.68214,-0.21862,0.19332,1.0687,0.14279,0.51659,2.4097,0.59572,0.16935,0.11818,-0.17883,0.1663,2.2278
4.5,-2.4571,0.043111,2,0.23547,1.1185,-0.087319,0.83018,-0.039786,0.5928,-0.034863,1.0432,-0.092524,0.0027768,-0.11272,-0.22009,0.026841,-0.16399,-0.063213,-0.064644,0.53514,0.71181,-0.24773,-0.10632,0.053825,-0.16049,0.22472,-0.036563,-0.036563,0.13286,-0.21554,-0.034394,0.24207,0.50479,1.7389,0.20316,1.0283,-0.18986,0.75405,0.6143,0.2348,0.49979,-0.30614,0.48835,0.69047,0.47118,0.24775,0.51376,0.63181,-0.24741,0.16042,1.0113,0.16731,0.398,2.2949,0.55261,0.25632,0.16034,-0.20339,0.14072,2.0694
4.665,-2.4224,0.066081,2,0.20922,1.2129,-0.098578,0.85899,-0.11963,0.6844,-0.11969,1.0782,-0.12534,-0.050517,-0.043368,-0.14706,0.041021,-0.18942,-0.054132,-0.071631,0.64015,1.004,-0.19048,-0.054603,0.034563,-0.10996,0.20212,-0.057048,-0.057048,0.12508,-0.19484,-0.077235,0.13516,0.49433,1.4534,0.20664,1.1367,-0.13264,0.86177,0.68564,0.12976,0.36281,-0.26861,0.56873,0.74103,0.46697,0.28867,0.47605,0.54186,-0.1076,0.10632,0.88059,0.19988,0.25247,2.1775,0.50511,0.2839,0.21852,-0.21486,0.14315,1.9111
4.831,-2.3903,0.085267,2,0.16216,1.2578,-0.040238,0.93481,-0.14292,0.77656,-0.13724,1.0954,-0.11746,-0.080434,0.01868,-0.030019,0.06736,-0.20443,-0.041566,-0.068349,0.74002,1.2962,-0.14108,0.00088163,0.015302,-0.060146,0.3206,-0.051216,-0.051216,0.089881,-0.14351,-0.13973,0.0844,0.5041,1.2035,0.21012,1.3371,-0.058303,0.96948,0.7735,0.037969,0.20209,-0.12946,0.65374,0.80941,0.46034,0.27403,0.43835,0.45727,0.078707,0.0015509,0.80362,0.20003,0.10694,2.1689,0.45118,0.18153,0.27669,-0.21664,0.1901,1.834
